report_type	year	country	lau_id	lau_name
missing-data	1980	US	72115	Quebradillas
missing-data	1980	US	72009	Aibonito
missing-data	1980	US	72085	Las Piedras
missing-data	1980	US	69110	Saipan
missing-data	1980	US	72029	Canóvanas
missing-data	1980	US	69085	Northern Islands
missing-data	1980	US	72113	Ponce
missing-data	1980	US	72011	Añasco
missing-data	1980	US	72131	San Sebastián
missing-data	1980	US	72105	Naranjito
missing-data	1980	US	72013	Arecibo
missing-data	1980	US	72047	Corozal
missing-data	1980	US	72017	Barceloneta
missing-data	1980	US	72125	San Germán
missing-data	1980	US	72087	Loíza
missing-data	1980	US	72127	San Juan
missing-data	1980	US	72023	Cabo Rojo
missing-data	1980	US	72089	Luquillo
missing-data	1980	US	72031	Carolina
missing-data	1980	US	72053	Fajardo
missing-data	1980	US	78020	St. John
missing-data	1980	US	72045	Comerío
missing-data	1980	US	72137	Toa Baja
missing-data	1980	US	72109	Patillas
missing-data	1980	US	72005	Aguadilla
missing-data	1980	US	60010	Eastern
missing-data	1980	US	69120	Tinian
missing-data	1980	US	72145	Vega Baja
missing-data	1980	US	72057	Guayama
missing-data	1980	US	72107	Orocovis
missing-data	1980	US	72069	Humacao
missing-data	1980	US	72133	Santa Isabel
missing-data	1980	US	60020	Manu'a
missing-data	1980	US	72001	Adjuntas
missing-data	1980	US	72099	Moca
missing-data	1980	US	72063	Gurabo
missing-data	1980	US	60040	Swains Island
missing-data	1980	US	72083	Las Marías
missing-data	1980	US	72101	Morovis
missing-data	1980	US	72061	Guaynabo
missing-data	1980	US	72139	Trujillo Alto
missing-data	1980	US	72153	Yauco
missing-data	1980	US	72077	Juncos
missing-data	1980	US	72123	Salinas
missing-data	1980	US	72147	Vieques
missing-data	1980	US	72091	Manatí
missing-data	1980	US	72067	Hormigueros
missing-data	1980	US	72143	Vega Alta
missing-data	1980	US	72003	Aguada
missing-data	1980	US	02230	Skagway
missing-data	1980	US	72035	Cayey
missing-data	1980	US	72051	Dorado
missing-data	1980	US	72095	Maunabo
missing-data	1980	US	72037	Ceiba
missing-data	1980	US	72041	Cidra
missing-data	1980	US	66010	Guam
missing-data	1980	US	02198	Prince of Wales-Hyder
missing-data	1980	US	72121	Sabana Grande
missing-data	1980	US	72007	Aguas Buenas
missing-data	1980	US	72025	Caguas
missing-data	1980	US	72151	Yabucoa
missing-data	1980	US	72149	Villalba
missing-data	1980	US	72079	Lajas
missing-data	1980	US	72093	Maricao
missing-data	1980	US	02164	Lake and Peninsula
missing-data	1980	US	60030	Rose Island
missing-data	1980	US	72049	Culebra
missing-data	1980	US	72141	Utuado
missing-data	1980	US	72073	Jayuya
missing-data	1980	US	72075	Juana Díaz
missing-data	1980	US	72103	Naguabo
missing-data	1980	US	60050	Western
missing-data	1980	US	72081	Lares
missing-data	1980	US	72111	Peñuelas
missing-data	1980	US	72129	San Lorenzo
missing-data	1980	US	72019	Barranquitas
missing-data	1980	US	72021	Bayamón
missing-data	1980	US	02282	Yakutat
missing-data	1980	US	69100	Rota
missing-data	1980	US	72065	Hatillo
missing-data	1980	US	02290	Yukon-Koyukuk
missing-data	1980	US	02105	Hoonah-Angoon
missing-data	1980	US	02195	Petersburg
missing-data	1980	US	72039	Ciales
missing-data	1980	US	72015	Arroyo
missing-data	1980	US	72059	Guayanilla
missing-data	1980	US	72055	Guánica
missing-data	1980	US	72027	Camuy
missing-data	1980	US	78030	St. Thomas
missing-data	1980	US	72054	Florida
missing-data	1980	US	72135	Toa Alta
