lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
,,Belgium,56,1981,,,,,,,,3345,12984,49014,2150,6039,22467,1195,6945,26547,5.1131153,19.847141,74.922043,7.0021172,19.667807,73.170494,3.4423161,20.005762,76.471268,77635,65420,24430,52097,13323,36845,30705,12280,25455,5250,40790,34715,12150,26642,8073,5537,5716,4901,4896,4405,5772,5631,4925,5309,5005,11309,11347,9826,10205,9410,3700,3249,3423,4185,4303,7687,4008,3341,3284,3614,3508,4712,7708,6590,6707,7799,7811,12399,1782,1874,1319,999,626,345,1291,1525,1125,954,726,418,3073,3399,2444,1953,1352,763,286,505,182,121,74,27,234,846,481,322,163,104,520,1351,663,443,237,131,64.102562,30.87318,4.9549551,72.385765,23.315874,4.2261152,68.158104,27.173048,4.5981078,57.698456,33.280056,8.9682121,58.449966,26.679497,14.80056,58.077026,29.955053,11.906231,69.502541,26.781727,3.6954315,67.006737,22.954498,9.8143234,68.257683,24.872786,6.7474051,78.828407,18.817102,2.2791486,73.815361,19.485294,6.5767975,76.423325,19.137678,4.3410091,85.97403,12.507492,1.4785215,79.63678,16.481272,3.7003405,83.007439,14.367694,2.5185971,95.218628,4.2735043,.33444816,89.75238,7.9619045,1.9809524,93.064629,5.7269382,.983262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,3916,8839,25025,2496,3920,10915,1420,4919,14110,10.331364,23.319439,66.022057,14.336588,22.515795,62.693855,6.9288573,24.002148,68.849419,45423,37904,15038,29607,8297,21264,17410,7708,14319,3091,24159,20494,7330,15288,5206,3335,3288,2526,2638,2532,3426,3207,2618,3048,2989,6761,6495,5144,5686,5521,2067,1491,1584,2128,2273,4567,2187,1499,1439,1686,1668,2436,4254,2990,3023,3814,3941,7003,1074,1045,824,771,631,574,931,839,568,587,568,427,2005,1884,1392,1358,1199,1001,280,659,203,144,83,51,208,941,506,350,279,212,488,1600,709,494,362,263,60.332748,31.348511,8.1727962,65.577209,27.916042,6.2368817,62.919685,29.655376,7.2178674,46.49205,32.584969,20.5488,45.590023,25.517031,28.619221,46.035412,29.006927,24.634335,60.5042,31.474407,7.7540107,56.967537,22.486145,20.031672,58.767498,27.060654,13.783049,69.816277,25.295275,4.7244096,63.912056,22.251705,13.267627,67.077034,23.883223,8.6880054,76.045502,21.110739,2.7768486,65.876778,22.432859,11.018957,71.381996,21.717081,6.5567832,87.7257,11.02574,.97963887,78.809448,13.8143,6.8586216,84.403999,12.064602,3.1698203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,1819,6819,25803,1148,3180,12159,671,3639,13644,5.2662053,19.741756,74.70253,6.9365559,19.214502,73.468277,3.7296426,20.22678,75.837921,41600,34541,14118,28221,6320,20125,16550,7150,14012,2538,21475,17991,6968,14209,3782,3312,3258,2410,2814,2218,3225,3190,2442,2893,2459,6537,6448,4852,5707,4677,1994,1834,1722,2308,2195,3591,2313,1904,1641,2156,1835,2310,4307,3738,3363,4464,4030,5901,1033,1032,623,530,248,173,815,838,533,495,324,175,1848,1870,1156,1025,572,348,187,315,94,49,15,11,172,504,225,153,53,41,359,819,319,202,68,52,61.829456,32.031006,5.7984495,69.83696,24.607489,5.1932368,65.88649,28.269848,5.491816,57.492165,32.351097,9.874608,58.440762,25.721302,15.469613,57.971462,29.00124,12.701612,70.515968,25.511875,3.849304,68.091286,22.116182,9.3360996,69.311623,23.825226,6.5746083,79.778778,18.320084,1.6937435,76.616913,17.590618,5.4371004,78.219727,17.9604,3.5395129,89.263931,10.085401,.61000407,82.732193,14.607755,2.3895402,86.166344,12.230062,1.4539235,94.94976,4.5742993,.29085141,91.016548,6.8951931,1.6154453,93.370255,5.5063291,.82278478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,433,2524,8748,248,1326,4325,185,1198,4423,3.5796957,20.866402,72.321426,4.0682416,21.751968,70.948166,3.0833333,19.966667,73.716667,15910,12096,7628,10713,1383,8088,6096,3984,5497,599,7822,6000,3644,5216,784,1588,1366,1044,907,592,1469,1311,949,868,619,3057,2677,1993,1775,1211,936,813,711,724,535,704,1108,776,712,727,490,512,2044,1589,1423,1451,1025,1216,444,360,182,106,62,44,414,423,247,125,72,45,858,783,429,231,134,89,49,99,27,7,0,3,33,127,53,18,7,10,82,226,80,25,7,13,63.716816,30.224642,3.3356025,69.7733,26.070528,2.0780857,66.862938,28.066732,2.6823683,62.013729,27.459953,7.5514874,56.808201,30.966326,9.2972183,59.357491,29.249159,8.4422865,74.920967,19.178082,2.8451002,68.199234,23.659004,5.0766282,71.399902,21.525339,4.0140491,83.410141,12.211982,.80645162,80.154358,13.781698,1.9845645,81.746475,13.014085,1.4084507,86.429726,10.016155,0,82.770271,12.162162,1.1824324,84.640793,11.065235,.5780347,89.795921,5.6122451,.38265306,85.475792,7.5125208,1.6694491,87.924805,6.4352856,.93998551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,349,1569,11332,235,892,5293,114,677,6038,2.4662569,11.087556,80.079147,3.4361749,13.042843,77.394356,1.5592942,9.2600193,82.587883,18084,14151,7882,11351,2800,8885,6839,4092,5700,1139,9199,7311,3790,5651,1660,1347,1414,1019,1071,849,1308,1296,998,1090,959,2655,2710,2017,2161,1808,964,970,827,962,859,1456,966,933,786,869,737,1002,1930,1903,1613,1831,1596,2459,265,195,101,48,35,33,304,284,138,96,43,27,569,479,239,144,78,60,28,57,16,7,3,3,29,113,40,27,13,13,57,170,56,34,16,16,73.700302,20.259939,2.1406727,71.71492,22.56867,2.1529324,72.693031,21.431261,2.1468925,74.84568,15.046296,4.3981481,65.983025,20.084866,7.9915133,70.221405,17.675276,6.2730627,82.86573,10.12024,1.6032064,77.134445,13.542689,3.9254172,79.970253,11.849281,2.7764006,88.256882,4.4036698,.64220184,81.139122,8.9635859,2.5210085,84.729294,6.6635818,1.5733457,89.572472,3.6496351,.31282586,86.808006,5.0647821,1.5312132,88.274338,4.3141594,.88495576,87.710846,1.9879518,.18072289,87.971909,2.3705003,1.1413521,87.821426,2.1428571,.5714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,1768,5724,16776,1198,2768,7938,570,2956,8838,7.2691388,23.534248,68.974594,10.040228,23.198122,66.526985,4.6004844,23.85795,71.331718,30294,24322,11942,20597,3725,15065,11932,6266,10393,1539,15229,12390,5676,10204,2186,2685,2182,2012,2055,1459,2457,2155,2073,2088,1431,5142,4337,4085,4143,2890,1505,1132,1343,1592,1216,2050,1850,1105,1123,1397,1093,1370,3355,2237,2466,2989,2309,3420,816,771,601,456,199,113,728,637,548,450,285,120,1544,1408,1149,906,484,233,133,248,124,39,15,11,106,436,332,205,73,46,239,684,456,244,88,57,61.253563,33.211235,5.4131055,68.901306,27.113594,3.9478586,65.246986,30.027227,4.6479969,52.529003,35.777264,11.508121,50.641613,29.193401,19.981668,51.579433,32.464836,15.771271,64.785332,28.991798,5.9816689,55.815109,27.23658,16.500994,60.367199,28.127295,11.16279,76.245209,21.839081,1.8678161,67.980537,21.89781,9.9756689,72.14579,21.868212,5.889452,84.97554,13.906359,1.048218,74.914322,19.533928,5.003427,79.896194,16.747404,3.0449827,93.778587,5.1692591,.5032022,89.018845,7.7972708,2.9889538,91.81208,6.2550335,1.5302013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,1012,4329,22465,681,2073,10705,331,2256,11760,3.6340132,15.545102,80.670067,5.0504303,15.373776,79.390388,2.3043721,15.705932,81.871346,34563,27848,13430,22943,4905,16832,13484,6696,11561,1923,17731,14364,6734,11382,2982,2598,2583,2291,2326,1763,2582,2491,2196,2257,1856,5180,5074,4487,4583,3619,1859,1668,1698,1949,1705,2881,2011,1719,1648,1961,1541,1825,3870,3387,3346,3910,3246,4706,636,674,431,285,141,89,514,593,465,258,174,69,1150,1267,896,543,315,158,85,145,66,21,10,4,71,266,171,103,47,23,156,411,237,124,57,27,71.998451,24.632069,3.2920218,77.405693,19.784449,2.7328715,74.710426,22.200771,3.0115831,66.96106,27.057407,5.8209553,66.550522,22.957802,10.298103,66.752068,24.970438,8.1001186,77.322403,19.626595,3.0054646,71.933655,20.296814,7.4639897,74.570984,19.9688,5.2819257,86.353569,12.627381,.93043864,84.307823,11.092004,4.4282031,85.315292,11.848134,2.7056513,91.864227,7.596983,.53879309,87.407829,9.8695402,2.6659105,89.693283,8.7040615,1.5750207,96.613014,2.9845741,.13413817,94.903793,3.5881436,1.1960478,95.942917,3.2212029,.55045873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,3135,8346,23414,2002,3877,10682,1133,4469,12732,8.9568872,23.845034,66.895233,12.042106,23.320301,64.252632,6.1656508,24.319765,69.286026,42328,35001,14678,28710,6291,20256,16625,7272,14138,2487,22072,18376,7406,14572,3804,3381,3118,2420,2777,2442,3370,3104,2532,2978,2588,6751,6222,4952,5755,5030,1930,1480,1630,2165,2070,3457,2181,1484,1387,1833,1729,2068,4111,2964,3017,3998,3799,5525,1199,1098,737,687,459,289,1021,925,606,561,477,287,2220,2023,1343,1248,936,576,231,521,163,120,56,42,172,697,413,375,225,120,403,1218,576,495,281,162,57.270031,35.578636,6.8545995,64.507545,30.198166,5.0872521,60.894684,32.884018,5.9694862,47.680412,35.373711,16.784794,47.594612,29.666452,22.354073,47.637417,32.51366,19.575699,64.375984,29.107426,6.4375987,57.314049,25.041323,17.066116,60.924877,27.120356,11.631664,72.699799,23.069174,4.0295501,66.006485,20.201656,13.503781,69.470024,21.685492,8.6012163,79.984543,17.735703,2.1638331,70.80262,19.533169,9.2137594,75.52684,18.608351,5.5864811,90.878021,7.5972662,1.1041009,83.15239,11.540008,4.8250904,87.823875,9.1559372,2.5751073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Belgium,56,1981,,,,,,,,1859,6575,27763,1195,3081,12472,664,3494,15289,5.123188,18.119936,76.511604,7.1059046,18.320747,74.163048,3.4109006,17.948322,78.53804,43521,36286,14502,27580,8706,20536,16817,7438,13612,3205,22985,19467,7064,13968,5499,3206,2822,2511,2623,2450,3122,2680,2406,2880,2880,6328,5502,4917,5503,5330,2107,1607,1761,2267,2470,5077,2343,1731,1778,1963,1887,2770,4450,3338,3539,4230,4357,7849,852,771,557,549,382,383,704,627,506,472,437,335,1556,1398,1063,1021,819,718,163,300,88,64,25,24,156,461,218,175,104,81,319,761,306,239,129,105,67.488792,27.290199,5.2210121,73.081718,21.958828,4.8658767,70.32238,24.589128,5.0410872,59.962688,28.768656,11.19403,61.339474,22.218285,16.335932,60.668846,25.408941,13.831334,73.192017,23.150457,3.6575229,70.808441,20.151335,8.6817999,71.974785,21.618874,6.2233071,78.715279,19.0625,2.2222223,74.837975,17.994663,6.6717501,76.867165,18.553516,4.3430858,85.763885,13.263889,.86805558,77.020409,17.836735,4.2448978,81.744843,15.365853,2.4202626,92.325874,6.9649029,.436443,86.42746,10.452418,2.5273011,90.156212,8.2471857,1.2060648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41002,Aalst,Belgium,56,1981,BE001,Bruxelles / Brussel,78.11542510986328,Outskirts of Major City,BE231,,1010.5303,3712,13284,47364,2483,6521,22197,1229,6763,25156,5.7537007,20.590561,73.415482,7.9346819,20.838526,70.932793,3.7006927,20.364347,75.748268,78938,64515,28880,53081,11434,38802,31293,15030,26695,4598,40136,33210,13850,26386,6824,6951,5854,4748,5216,3926,6684,5332,4724,5390,4256,13635,11186,9472,10606,8182,4119,2984,3455,4481,3722,6395,4679,3209,3112,3979,3088,4130,8798,6193,6567,8460,6810,10536,2259,1771,1077,801,482,373,1934,1600,1098,900,644,345,4193,3371,2175,1701,1126,718,302,569,187,102,50,19,335,1039,528,312,167,102,637,1608,715,414,217,121,61.624775,33.797127,4.5182524,67.314056,27.823336,4.8194504,64.525116,30.751741,4.6718006,55.963989,33.214554,10.671418,54.817219,27.331739,17.748549,55.363846,30.135883,14.375112,73.137169,22.798475,3.9585097,65.543388,23.125526,11.120472,69.330658,22.962416,7.548564,83.135437,14.860853,1.8923934,76.284508,17.254601,5.981595,79.766167,16.038092,3.903451,87.453011,11.325188,1.1748121,78.655121,16.403463,4.2536931,83.231483,13.761916,2.6521633,93.713364,5.4660025,.27842906,89.821663,7.5032625,2.2183559,92.146233,6.2795172,1.0582473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
