lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
4713046,,Canada,124,1996,,,838.3699951171875,Rural and Towns,,,.42344072,0,100,170,0,50,100,0,50,70,0,35.087719,59.649124,0,30.30303,60.60606,0,41.666668,58.333332,355,285,85,,15,205,165,40,,15,150,120,30,,0,30,40,20,20,30,30,20,25,30,0,60,60,45,50,30,0,,15,15,10,0,0,,0,15,25,,0,,15,30,,,0,,10,10,0,10,15,,20,0,0,,15,,30,10,,,0,,0,0,0,0,0,,0,0,0,,0,,0,0,,,0,0,0,0,50,0,0,25,0,,,,,,,,,,60,40,0,0,100,0,33.333332,66.666664,0,50,33.333332,0,75,0,0,60,20,0,,,,83.333336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3526053,,Canada,124,1996,CAN17,St Catharines,96.12999725341797,Metropolitan Area,,,1342.765,11945,53145,39600,6270,24895,18500,5675,28250,21100,11.409877,50.76416,37.825962,12.622044,50.115753,37.242073,10.315369,51.349632,38.353176,129080,104690,24400,,20315,62105,49675,12430,,8730,66975,55015,11960,,11585,8645,9130,9150,8210,5810,8505,9645,9895,8530,6855,17150,18775,19045,16740,12665,675,1695,2110,2675,3445,7580,860,1845,2270,2510,2675,5095,1535,3540,4380,5185,6120,12675,3045,6160,6390,4785,2945,3670,3190,5685,5365,4250,2425,3030,6235,11845,11755,9035,5370,6700,625,1785,1395,1065,455,330,410,1595,1495,1450,700,540,1035,3380,2890,2515,1155,870,7.9365077,35.802467,7.3486185,9.9479465,36.89994,4.7426257,8.9504375,36.355686,6.0349855,17.573872,63.86729,18.506998,20.208105,62.26725,17.469879,18.85486,63.089214,18.002663,21.3239,64.578072,14.098029,24.808743,58.633881,16.338799,22.998161,61.722237,15.174586,31.359907,56.09613,12.485346,30.572474,51.76614,17.661388,30.973715,53.972523,15.023895,50.255287,42.961342,6.6374907,46.041309,41.73838,12.048193,48.322147,42.400314,9.1196213,65.429436,31.678896,2.848511,58.361969,34.707905,6.1855669,62.392323,32.980556,4.2825499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212006,,Canada,124,1996,,,793.8799724578857,Medium Sized Areas,,,19.247242,700,5740,5695,315,2740,2765,385,3000,2930,5.7565789,47.203949,46.833881,5.4077253,47.038628,47.467812,6.0773482,47.355961,46.250988,15280,12160,3120,,2165,7405,5825,1580,,860,7875,6335,1540,,1305,1155,930,1240,1025,610,1165,1075,1180,1045,555,2320,2005,2420,2070,1165,170,345,425,415,325,830,145,310,455,430,300,600,315,655,880,845,625,1430,315,635,645,565,220,420,345,555,720,540,250,225,660,1190,1365,1105,470,645,70,80,100,75,15,45,75,60,60,55,25,25,145,140,160,130,40,70,14.592275,27.038626,6.0085835,12.554112,29.870131,6.4935064,13.577586,28.448277,6.25,32.093021,59.069767,7.4418607,33.333332,59.677418,6.4516129,32.668327,59.35162,6.9825435,36.016949,54.661018,8.474576,36.69355,58.064518,4.8387098,36.363636,56.404957,6.6115704,39.712917,54.066986,7.1770334,41.951218,52.682926,5.3658538,40.821255,53.381641,6.2801933,58.558559,39.639641,2.7027028,49.180328,40.983608,4.0983605,53.648067,40.343349,3.4334764,63.601532,32.183907,3.4482758,69.767441,26.16279,2.9069767,66.050812,29.792149,3.2332563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4715071,,Canada,124,1996,,,1112.880018591881,Medium Sized Areas,,,2.3946877,120,580,1225,55,280,635,65,300,590,6.2015505,29.974161,63.307495,5.7591624,29.319372,66.492149,6.6326532,30.612246,60.204082,2665,1935,735,,365,1315,955,360,,155,1350,980,370,,210,200,145,185,185,85,195,155,165,120,105,395,300,350,305,190,45,95,75,30,60,185,55,,85,110,75,145,100,170,160,140,135,330,40,65,75,45,40,20,40,,75,45,10,10,80,135,150,90,50,30,10,0,10,30,10,10,0,,15,25,0,0,10,20,25,55,10,10,23.076923,20.512821,5.1282053,27.5,20,0,25.316456,20.253164,2.5316455,61.290321,41.935482,0,,,,56.666668,45,6.6666665,45.454544,45.454544,6.060606,45.945946,40.540539,8.1081085,45.714287,42.857143,7.1428571,25,37.5,25,59.459461,24.324324,13.513514,45.901638,29.508196,18.032787,57.142857,38.095238,9.5238094,88.235291,11.764706,0,71.052635,26.31579,5.2631578,88.095238,9.5238094,4.7619047,93.548386,6.4516129,0,90.410957,8.2191782,2.7397261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3549096,,Canada,124,1996,,,3013.239925384521,Medium Sized Areas,,,.86750478,46,994,1166,23,528,565,23,466,601,2.0975833,45.326038,53.169174,2.0758123,47.653431,50.992779,2.1198156,42.94931,55.391705,2614,2193,421,,496,1335,1108,227,,253,1279,1085,194,,243,151,132,158,206,210,132,128,184,215,191,283,260,342,421,401,7,,85,99,121,161,26,33,49,99,138,151,33,89,134,198,259,312,30,,79,118,66,76,59,86,102,89,72,82,89,175,181,207,138,158,0,,7,7,0,0,0,0,0,10,0,0,0,10,7,17,0,0,5.3030305,22.727272,0,17.218542,39.072849,0,11.660777,31.448763,0,,,,25,65.151512,0,34.23077,67.307693,3.8461537,46.195652,42.934784,3.8043478,31.012659,64.556961,0,39.181286,52.923977,2.0467837,46.046513,54.88372,3.2558138,48.058254,43.203884,4.8543692,47.03088,49.168648,4.0380049,63.350784,34.554974,0,65.714287,34.285713,0,64.588531,34.413963,0,66.255142,31.275721,0,59.683796,32.411068,0,62.903225,31.854839,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605025,,Canada,124,1996,,,926.1400146484375,Medium Sized Areas,,,3.5685749,205,1205,1250,120,495,670,85,710,580,7.7651515,45.64394,47.348484,9.4117651,38.823528,52.549019,6.2271061,52.014652,42.490841,3305,2640,670,,705,1635,1275,360,,290,1670,1365,305,,415,205,190,220,190,180,170,185,245,175,175,375,375,465,365,355,20,30,50,50,95,290,10,50,75,70,115,240,30,80,125,120,210,530,65,140,150,100,80,125,60,105,115,85,55,20,125,245,265,185,135,145,20,10,35,20,0,0,0,30,20,20,15,0,20,40,55,40,15,0,11.764706,38.235294,11.764706,4.8780489,29.268293,0,8,33.333332,5.3333335,16.216217,75.675674,5.4054055,26.31579,55.263157,15.789474,21.333334,65.333336,10.666667,20.408163,61.224491,14.285714,34.090908,52.272728,9.090909,26.88172,56.989246,11.827957,28.571428,57.142857,11.428572,36.842106,44.736843,10.526316,32.876713,50.684933,10.958904,54.285713,45.714287,0,63.888889,30.555555,8.333333,59.15493,38.028168,4.2253523,69.879517,30.120481,0,82.758621,6.8965516,0,75.177307,20.567375,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313027,,Canada,124,1996,,,157.6499998569489,Medium Sized Areas,,,116.18776,1945,7612,5621,1030,3546,2520,915,4066,3101,12.785958,50.039444,36.951092,14.454112,49.761436,35.363457,11.315855,50.284443,38.350235,18317,15212,3111,,2351,8701,7126,1575,,990,9616,8086,1530,,1361,1335,1265,1570,1256,705,1255,1335,1785,1320,1015,2590,2600,3355,2576,1720,95,195,380,510,585,921,120,210,360,335,335,720,215,405,740,845,920,1641,365,860,1205,650,330,390,410,710,945,715,280,220,775,1570,2150,1365,610,610,160,295,195,145,80,50,105,335,240,200,105,55,265,630,435,345,185,105,7.5697212,29.083666,12.749004,8.9887638,30.711611,7.8651686,8.301158,29.922779,10.23166,14.606742,64.419479,22.097378,16.60079,56.126484,26.482214,15.576923,60.384617,24.23077,21.288515,67.507004,10.92437,22.929935,60.191082,15.286624,22.056631,64.083458,12.965723,38.636364,49.242424,10.984848,26.671974,56.92675,15.923567,32.802795,52.989132,13.392858,57.635468,32.512314,7.8817735,47.517731,39.716312,14.893617,53.488373,35.465115,10.755814,67.67083,28.655401,3.6737692,72.727272,22.222221,5.5555553,69.800087,25.946405,4.4661846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4714006,,Canada,124,1996,,,2342.8199608922,Medium Sized Areas,,,.87287968,35,505,1100,25,235,625,10,270,475,2.102102,30.33033,66.066063,2.8089888,26.404495,70.224716,1.2903225,34.838711,61.290321,2045,1665,360,,395,1090,890,200,,180,955,775,180,,215,145,120,160,120,155,80,105,135,140,110,225,225,295,260,265,10,20,50,80,85,185,10,50,90,75,135,155,20,70,140,155,220,340,20,85,85,30,25,20,20,50,45,40,10,10,40,135,130,70,35,30,10,0,0,0,10,0,0,0,0,0,10,0,10,0,0,0,20,0,12.5,25,12.5,6.8965516,13.793103,0,8.8888893,17.777779,4.4444447,19.047619,80.952377,0,41.666668,41.666668,0,31.111111,60,0,37.037037,62.962963,0,56.25,28.125,0,47.457626,44.067795,0,57.142857,21.428572,0,62.5,33.333332,0,59.615383,26.923077,0,77.272728,22.727272,9.090909,87.096771,6.4516129,6.4516129,83.018867,13.207547,7.5471697,86.046509,9.3023252,0,86.111115,5.5555553,0,86.075951,7.5949368,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409025,,Canada,124,1996,,,222.620002746582,Medium Sized Areas,,,9.2758961,95,740,795,55,400,420,40,340,375,5.8823528,45.820435,49.226006,6.4327483,46.783627,49.122807,5.2631578,44.736843,49.342106,2065,1615,450,,225,1090,855,235,,110,975,760,215,,115,150,160,150,155,125,125,150,150,100,110,275,310,300,255,235,0,60,35,45,,115,0,35,55,90,90,95,0,95,90,135,175,210,35,70,105,60,,0,35,115,85,55,25,10,70,185,190,115,65,10,10,30,10,0,,0,10,15,0,25,15,0,20,45,10,25,15,0,0,28,8,0,23.333334,6.6666665,0,25.454546,7.2727275,40,46.666668,20,21.875,71.875,9.375,30.645161,59.677418,14.516129,23.333334,70,6.6666665,36.666668,56.666668,0,30,63.333332,3.3333333,45,60,0,58.064518,35.483871,16.129032,52.941177,45.098038,9.8039217,,,,72,20,12,74.468086,27.659575,6.3829789,100,0,0,86.36364,9.090909,0,93.333336,4.4444447,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203004,,Canada,124,1996,,,1663.879956245422,Medium Sized Areas,,,6.6861796,435,3750,4880,260,1565,2505,175,2185,2375,4.7933884,41.322315,53.774105,5.9907832,36.059906,57.718895,3.6958818,46.145721,50.158394,11125,9075,2045,,1935,5410,4340,1070,,825,5715,4735,980,,1110,660,765,850,735,495,720,735,835,730,605,1380,1500,1685,1465,1100,75,215,330,325,355,775,145,305,435,370,305,645,220,520,765,695,660,1420,230,460,460,370,245,320,165,410,350,310,155,170,395,870,810,680,400,490,25,45,50,35,20,20,10,40,75,65,40,20,35,85,125,100,60,40,10.416667,31.944445,3.4722223,21.969696,25,1.5151515,15.942029,28.623188,2.536232,29.251701,62.585033,6.1224489,39.869282,53.594772,5.2287583,34.666668,58,5.6666665,39.520958,55.089821,5.9880238,51.176472,41.176472,8.8235292,45.400593,48.071217,7.4183974,44.52055,50.684933,4.7945204,50.340137,42.176872,8.8435373,47.440273,46.416382,6.8259387,58.677685,40.495869,3.3057852,61.616161,31.313131,8.0808077,60,36.363636,5.4545455,69.819817,28.828829,1.8018018,78.181816,20.60606,2.4242425,73.38501,25.322998,2.0671835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
