lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
580,Aabenraa,Denmark,208,1991,,,940.8,Rural and Towns,DK032,,63.641582,4242,17298,25723,2031,10239,10945,2201,6998,14849,8.8083229,35.918518,53.412655,8.5225124,42.965046,45.927574,9.0471888,28.765209,61.036667,59874,48159,11715,39500,8659,29747,23831,5916,20118,3713,30127,24328,5799,19382,4946,4393,4261,4617,3947,2900,4126,4109,4417,3736,2994,8519,8370,9034,7683,5894,2669,1630,1945,2147,2286,,2957,1202,1245,1546,1597,,5626,2832,3190,3693,3883,,1300,1838,1593,1119,484,,1245,2569,2612,1818,986,,2545,4407,4205,2937,1470,,23,543,782,404,179,,12,329,672,478,251,,35,872,1454,882,430,,66.858719,32.565132,.57615232,70.17086,29.544376,.28476506,68.559593,31.013893,.42651719,40.638245,45.823982,13.537771,29.317074,62.658535,8.0243902,34.915546,54.333622,10.750833,45.023148,36.875,18.101852,27.489511,57.672775,14.837712,36.049271,47.519493,16.431234,58.501362,30.490463,11.008174,40.23946,47.319103,12.441437,49.161343,39.097443,11.741214,77.517799,16.412344,6.0698543,56.351448,34.791813,8.85674,67.145081,25.419333,7.4355869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,Aalborg,Denmark,208,1991,DK004,Aalborg,1137.4,Metropolitan Area,DK050,,160.85722,17264,59682,74286,8682,33002,31638,8534,26562,42814,11.270474,38.962261,48.496204,11.56459,43.959293,42.142418,10.926317,34.008064,54.815952,182959,153179,29780,125126,28053,90324,75074,15250,63424,11650,92635,78105,14530,61702,16403,15354,14830,13109,11440,8691,14144,13713,12906,11517,9422,29498,28543,26015,22957,18113,7789,4102,5122,5904,6402,,8493,3715,3614,4280,4180,,16282,7817,8736,10184,10582,,5823,6400,4887,4081,2215,,6065,8220,6813,5185,3414,,11888,14620,11700,9266,5629,,199,2830,2744,1369,704,,245,2272,2489,1750,984,,444,5102,5233,3119,1688,,56.397076,42.162045,1.4408804,57.373505,40.971424,1.6550699,56.902214,41.546097,1.551688,30.768076,48.004799,21.227123,26.149082,57.858803,15.992117,28.385199,53.088348,18.526453,40.163097,38.320396,21.516506,27.980799,52.748528,19.270672,34.033268,45.580273,20.386457,51.999294,35.943279,12.057425,38.163174,46.232723,15.604101,45.123844,41.056316,13.819841,68.683617,23.763544,7.5528378,48.729309,39.799488,11.471206,59.120621,31.448685,9.4306946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Aarhus,Denmark,208,1991,DK002,Århus,467.6,Metropolitan Area,DK042,,564.47174,37116,97662,82342,18458,51081,33834,18554,46275,48918,16.768015,44.121075,37.199909,17.326086,47.948524,31.759172,16.159628,40.303265,42.60519,263947,221350,42597,187017,34333,128360,106533,21827,93340,13193,135587,114817,20770,93677,21140,23073,25267,20068,15024,9908,23566,24404,19575,14989,11143,46639,49671,39643,30013,21051,11069,5048,5359,5996,6305,,11435,4470,3953,4145,3659,,22504,9518,9312,10141,9964,,11411,12266,7559,6106,3435,,10410,14052,9714,7190,4394,,21821,26318,17273,13296,7829,,421,6300,6363,2560,1179,,462,5384,5995,3347,1646,,883,11684,12358,5907,2825,,48.334133,49.827518,1.8383477,51.261936,46.666965,2.0710988,49.778801,48.268005,1.9531941,21.37715,51.943764,26.679089,18.698235,58.780224,22.521544,20.029461,55.382996,24.587542,27.794201,39.204399,33.0014,20.104771,49.404945,30.490286,23.911871,44.354568,31.733559,40.894829,41.645069,17.4601,28.231848,48.971531,22.796621,34.559025,45.310795,20.13018,57.743382,31.458925,10.797692,37.72554,45.303638,16.970821,48.326706,37.971676,13.70162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Albertslund,Denmark,208,1991,,,23.2,,DK012,,1277.3707,3259,9901,9363,1496,5271,4357,1758,4621,5020,13.914863,42.274029,39.976944,12.894328,45.431824,37.553871,14.874355,39.098061,42.473984,29635,23421,6214,22158,1263,14834,11602,3232,11057,545,14801,11819,2982,11101,718,2946,2352,2352,2259,1148,2870,2248,2625,2349,1009,5816,4600,4977,4608,2157,1749,775,674,837,483,,1809,755,568,628,365,,3558,1530,1242,1465,848,,970,996,1032,1056,380,,961,1180,1174,1166,563,,1931,2176,2206,2222,943,,25,381,821,390,104,,19,259,546,419,178,,44,640,1367,809,282,,63.739067,35.349854,.91107869,64.861961,34.456795,.68124777,64.305077,34.899693,.7952286,36.013012,46.282528,17.70446,34.412033,53.783043,11.804922,35.204784,50.069031,14.726185,26.671944,40.83894,32.489117,24.825174,51.311188,23.863636,25.794392,45.815163,28.390446,36.662285,46.254929,17.082787,28.377768,52.68866,18.933575,32.584518,49.421707,17.993773,49.948296,39.296795,10.754912,33.001808,50.90416,16.094032,40.906898,45.489628,13.603474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Allerød,Denmark,208,1991,,,67.59999999999999,Medium Sized Areas,DK013,,320.22189,3677,7406,5852,2111,3707,2640,1553,3693,3231,21.235922,42.772163,33.797287,24.469688,42.969746,30.601599,17.875231,42.506905,37.189228,21647,17315,4332,15510,1805,10838,8627,2211,7792,835,10809,8688,2121,7718,970,1669,1422,1867,1811,1023,1462,1567,1989,1766,934,3131,2989,3856,3577,1957,966,308,430,493,436,,1117,255,294,354,273,,2083,563,724,847,709,,440,876,930,838,344,,486,764,914,817,433,,926,1640,1844,1655,777,,12,346,591,391,137,,13,369,641,599,302,,25,715,1232,990,439,,68.124115,31.029619,.84626234,69.121284,30.074257,.80445546,68.655243,30.520765,.82399476,20.130718,57.254902,22.61438,18.371758,55.043228,26.585014,19.294037,56.202877,24.503084,22.03998,47.667862,30.292158,15.900487,49.432125,34.667389,19.052631,48.526318,32.421051,28.629501,48.664345,22.706156,20,46.158192,33.841808,24.255442,47.394043,28.350515,47.546349,37.51363,14.940022,27.083334,42.956348,29.960318,36.831169,40.363636,22.805195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Assens,Denmark,208,1991,DK003,Odense,511.6,Metropolitan Area,DK031,,78.209541,2888,11028,18433,1366,6558,8164,1520,4440,10301,8.8320742,33.725803,56.371754,8.357296,40.12236,49.947998,9.2943621,27.149321,62.987648,40012,32699,7313,26160,6539,20077,16345,3732,13412,2933,19935,16354,3581,12748,3606,2845,2716,3174,2625,2052,2606,2580,3022,2470,2070,5451,5296,6196,5095,4122,1925,1018,1272,1389,1564,,2076,905,983,1056,1141,,4001,1923,2255,2445,2705,,629,1157,1143,755,368,,708,1521,1710,1149,702,,1337,2678,2853,1904,1070,,10,334,583,293,126,,4,201,450,377,177,,14,535,1033,670,303,,75.078003,24.531981,.3900156,74.461983,25.394548,.14347202,74.757103,24.981316,.26158446,40.573933,46.113991,13.312077,34.449944,57.898743,7.6513133,37.441589,52.141743,10.416667,42.428284,38.125416,19.446297,31.27585,54.406616,14.317531,36.720406,46.458233,16.821365,56.996307,30.980715,12.022979,40.898529,44.500389,14.601085,48.714882,37.935844,13.349273,75.996109,17.881439,6.1224489,56.485149,34.752476,8.7623758,66.331535,26.238352,7.4301128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Ballerup,Denmark,208,1991,DK001,København,33.9,Outskirts of Major City,DK012,,1336.1947,3946,16771,16260,2008,8928,7104,1931,7823,9183,10.485478,44.56461,43.20676,10.878162,48.36665,38.485291,10.07093,40.800041,47.892979,45297,37633,7664,33152,4481,22319,18459,3860,16506,1953,22978,19174,3804,16646,2528,3537,3372,3219,3712,2666,3344,3190,3449,4131,2532,6881,6562,6668,7843,5198,2159,1151,1083,1653,1406,,2287,1010,803,1089,975,,4446,2161,1886,2742,2381,,1060,1497,1634,1954,933,,1094,1864,1755,2023,1366,,2154,3361,3389,3977,2299,,39,440,669,474,162,,28,364,619,529,295,,67,804,1288,1003,457,,66.267647,32.535297,1.1970534,67.08712,32.091522,.82135522,66.686668,32.308384,1.0049498,37.273315,48.477978,14.248705,31.192095,57.566399,11.241508,34.160606,53.12994,12.709453,31.984642,48.25753,19.757826,25.275417,55.240791,19.483789,28.736858,51.63797,19.625172,40.50478,47.880421,11.6148,29.909365,55.561661,14.528975,35.508934,51.502201,12.988863,56.217514,37.305077,6.4774089,36.987862,51.820942,11.191198,46.35001,44.753746,8.8962431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Billund,Denmark,208,1991,,,536.7,Medium Sized Areas,DK032,,46.670395,1550,6766,11402,736,4124,5148,811,2627,6272,7.7523255,33.840153,57.027107,7.2312832,40.518764,50.579681,8.2620211,26.762428,63.895679,25048,19994,5054,16629,3365,12784,10178,2606,8601,1577,12264,9816,2448,8028,1788,1983,1961,1937,1565,1155,1798,1760,1777,1538,1155,3781,3721,3714,3103,2310,1201,714,843,981,944,,1341,604,584,722,708,,2542,1318,1427,1703,1652,,548,783,631,396,131,,599,1151,1096,647,348,,1147,1934,1727,1043,479,,15,221,287,150,76,,7,141,230,165,93,,22,362,517,315,169,,68.0839,31.06576,.85034013,68.875191,30.76528,.35952747,68.499054,30.908112,.59283215,41.559952,45.576252,12.863795,31.856541,60.706753,7.4367089,36.469288,53.514111,10.016603,47.870529,35.831913,16.297558,30.575916,57.382198,12.041884,38.872242,47.044403,14.083356,64.243614,25.933203,9.8231831,47.066494,42.177315,10.756193,55.635414,34.073833,10.290754,82.01564,11.381408,6.6029539,61.618797,30.287207,8.0939951,71.826088,20.826086,7.347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Bornholm,Denmark,208,1991,,,588.1,Rural and Towns,DK014,,77.644958,3070,12595,21352,1469,7467,9307,1593,5090,12091,8.2039499,33.657574,57.058872,7.9199915,40.25771,50.177917,8.440629,26.969746,64.065063,45663,37421,8242,29113,8308,22788,18548,4240,14882,3666,22875,18873,4002,14231,4642,2988,3030,3580,2986,2298,2700,2908,3295,2895,2433,5688,5938,6875,5881,4731,1947,1331,1530,1655,1799,,2207,1067,1071,1225,1290,,4154,2398,2601,2880,3089,,689,1160,1175,889,468,,717,1704,2007,1298,795,,1406,2864,3182,2187,1263,,12,354,556,308,144,,7,161,453,400,188,,19,515,1009,708,332,,73.527191,26.019638,.45317221,75.298531,24.462641,.23882633,74.457787,25.201649,.34056282,46.783833,40.773285,12.442883,36.391541,58.117325,5.4911323,41.509434,49.575905,8.9146614,46.918125,36.031891,17.049984,30.33135,56.839424,12.829226,38.295052,46.849236,14.855713,58.029453,31.171108,10.799439,41.908997,44.406433,13.68457,49.870129,37.870129,12.25974,74.616341,19.411034,5.9726253,56.753189,34.975803,8.2710075,65.947906,26.964132,7.0879588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Brøndby,Denmark,208,1991,DK001,København,21,Outskirts of Major City,DK012,,1609.5714,2369,11693,13031,1199,6101,5775,1162,5577,7279,8.5369368,42.136936,46.958557,8.9237871,45.40786,42.981541,8.1179266,38.961857,50.852314,33801,27750,6051,24045,3705,16597,13436,3161,11796,1640,17204,14314,2890,12249,2065,2471,2593,2408,2314,2010,2344,2590,2627,2489,2199,4815,5183,5035,4803,4209,1575,1043,1029,1167,1182,,1724,924,740,822,787,,3299,1967,1769,1989,1969,,689,1167,1161,1045,838,,631,1332,1314,1197,962,,1320,2499,2475,2242,1800,,15,276,362,223,130,,16,222,309,242,222,,31,498,671,465,352,,69.109261,30.232557,.6581834,72.711937,26.613243,.67482072,70.946236,28.387096,.66666669,41.954948,46.942879,11.102172,37.288136,53.753025,8.9588375,39.625301,50.342464,10.032232,40.321316,45.493729,14.184953,31.316124,55.607281,13.076597,35.991863,50.356052,13.652085,47.926079,42.91581,9.1581106,36.355595,52.941177,10.703229,42.355194,47.74276,9.9020443,54.976746,38.976746,6.0465117,39.92897,48.807713,11.263318,47.779667,43.678719,8.5416164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
