lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
020,Akaa,Finland,246,1996,FI002,Tampere,314.3900146484375,Metropolitan Area,FI197,,50.650463,711,5707,6548,384,2904,3012,327,2803,3536,5.4835725,44.015118,50.501312,6.0952382,46.095238,47.809525,4.9054904,42.049206,53.045303,15924,12966,2962,,2603,,6300,,,1021,,6666,,,1582,951,1017,1292,1257,772,876,923,1175,1135,830,1827,1940,2467,2392,1602,470,173,283,554,588,1266,537,219,363,560,506,756,1007,392,646,1114,1094,2022,405,683,784,505,205,266,412,709,812,591,218,221,817,1392,1596,1096,423,487,1,67,108,76,37,50,2,89,117,106,48,44,3,156,225,182,85,94,53.652969,46.232876,.11415525,56.466877,43.322819,.21030495,55.11768,44.718117,.16420361,18.743229,73.997833,7.2589383,21.533924,69.714851,8.7512293,20.206186,71.752579,8.0412369,24.085106,66.723404,9.1914892,28.095976,62.848297,9.055728,26.18565,64.693962,9.120389,48.810574,44.493393,6.6960354,44.550518,47.016705,8.4327765,46.571907,45.819397,7.6086955,70.843376,24.698795,4.4578314,65.544044,28.238342,6.2176166,68.289635,26.404495,5.3058677,80.025284,16.814159,3.1605563,74.045052,21.645445,4.3095007,77.679604,18.709181,3.6112177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005,Alajärvi,Finland,246,1996,,,1056.739990234375,Rural and Towns,FI194,,11.236444,430,3884,4933,196,1913,2465,234,1971,2468,4.650157,42.002811,53.347031,4.2850895,41.823349,53.89156,5.0074897,42.178471,52.814037,11874,9247,2624,,1960,,4574,,,853,,4673,,,1107,865,672,861,821,584,778,589,781,716,589,1643,1261,1642,1537,1173,385,57,191,335,410,916,477,150,290,426,438,728,862,207,481,761,848,1644,386,466,528,336,152,163,387,475,515,342,121,101,773,941,1043,678,273,264,7,66,62,45,27,28,1,47,56,53,25,24,8,113,118,98,52,52,49.485863,49.614395,.8997429,55.144508,44.739883,.11560693,52.465004,47.048084,.48691419,9.6774197,79.117149,11.205433,22.321428,70.684525,6.9940476,16.415543,74.623314,8.9611416,24.455826,67.605637,7.9385405,33.681767,59.814171,6.504065,29.293545,63.520096,7.186358,46.787708,46.927376,6.2849164,51.887943,41.656517,6.4555421,49.512035,44.111908,6.3760571,69.609505,25.806452,4.5840406,75,20.719177,4.2808218,72.293266,23.273657,4.4330778,82.746162,14.724481,2.5293586,85.34584,11.840563,2.8135991,83.877548,13.469388,2.6530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009,Alavieska,Finland,246,1996,,,253.0200042724609,Rural and Towns,FI1D9,,12.070192,82,1050,1207,42,533,613,40,517,594,3.5057716,44.89098,51.603249,3.5353534,44.865318,51.599327,3.475239,44.917461,51.6073,3054,2339,715,,548,,1188,,,230,,1151,,,318,218,175,239,192,157,180,160,200,160,159,398,335,439,352,316,99,21,40,64,112,265,117,35,69,88,112,181,216,56,109,152,224,446,81,125,153,88,38,42,101,131,152,96,38,39,182,256,305,184,76,81,0,14,7,8,9,11,0,9,18,8,7,10,0,23,25,16,16,21,55,45,0,53.669724,46.330276,0,54.271358,45.728642,0,13.125,78.125,8.75,20,74.85714,5.1428571,16.716417,76.417908,6.8656716,20,76.5,3.5,28.870293,63.598328,7.5313807,24.829157,69.476082,5.6947608,40,55,5,45.833332,50,4.1666665,43.18182,52.272728,4.5454545,70.440254,23.89937,5.6603775,71.337578,24.203821,4.4585986,70.886078,24.050632,5.0632911,83.333336,13.207547,3.4591196,78.695656,16.956522,4.347826,81.386864,14.781022,3.8321168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,Alavus,Finland,246,1996,,,1151.4599609375,Rural and Towns,FI194,,11.586161,474,4459,5683,236,2284,2712,238,2175,2971,4.4649587,42.002636,53.532402,4.5107036,43.654434,51.834862,4.420505,40.397472,55.182022,13341,10616,2722,,2331,,5232,,,971,,5384,,,1360,814,810,1018,943,695,749,713,893,828,756,1563,1523,1911,1771,1451,416,100,207,401,552,1127,470,166,289,465,509,787,886,266,496,866,1061,1914,327,553,608,387,177,198,338,592,667,421,146,152,665,1145,1275,808,323,350,6,60,78,40,27,35,6,52,62,57,40,32,12,112,140,97,67,67,55.540722,43.658211,.80106807,57.739559,41.523342,.73710072,56.68586,42.546387,.76775432,14.025246,77.559608,8.4151468,20.493828,73.086418,6.4197531,17.465528,75.180565,7.3539066,23.18029,68.085106,8.7346029,28.388998,65.52063,6.0903735,25.954998,66.718994,7.3260074,48.429951,46.739132,4.8309178,49.310711,44.644753,6.0445385,48.898926,45.62394,5.4771314,73.015877,23.412699,3.5714285,73.237411,21.007195,5.7553959,73.121986,22.260509,4.6175051,82.867645,14.558824,2.5735295,81.050461,15.653965,3.2955716,82.11068,15.015015,2.8743029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
016,Asikkala,Finland,246,1996,FI007,Lahti,755.5499877929688,Medium Sized Areas,FI1C3,,11.551849,470,3179,3522,251,1591,1703,219,1588,1819,6.5541763,44.331333,49.114491,7.0803947,44.880112,48.039494,6.0397134,43.794815,50.16547,8728,7171,1554,,1555,,3545,,,653,,3626,,,902,546,462,611,791,518,431,420,627,680,532,977,882,1238,1471,1050,279,67,155,260,310,683,310,95,156,333,318,469,589,162,311,593,628,1152,148,321,410,370,186,181,231,322,393,384,163,147,379,643,803,754,349,328,4,32,62,50,36,38,5,45,62,74,37,37,9,77,124,124,73,75,64.733177,34.338749,.92807424,56.776558,42.307693,.91575092,60.286591,38.792221,.92118728,15.952381,76.428574,7.6190476,20.562771,69.696968,9.7402601,18.367348,72.902496,8.7301588,24.720894,65.390747,9.8883572,25.531916,64.320786,10.1473,25.121162,64.862679,10.016155,38.235294,54.411766,7.352941,42.09861,48.546143,9.3552465,40.312714,51.257648,8.4296398,58.270676,34.962406,6.7669172,61.389961,31.467182,7.1428571,59.809525,33.238094,6.9523811,75.720619,20.066519,4.2128601,71.822357,22.511486,5.6661563,74.083603,21.093248,4.8231511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
018,Askola,Finland,246,1996,,,218.0299987792969,Rural and Towns,FI1B1,,19.726643,191,1460,1710,107,738,845,84,722,865,5.6828327,43.439453,50.877716,6.3313608,43.66864,50,5.0269299,43.207661,51.765411,4301,3361,942,,569,,1690,,,247,,1671,,,322,273,270,369,343,213,240,244,340,300,191,513,514,709,643,404,140,42,110,145,129,262,161,67,123,182,133,201,301,109,233,327,262,463,100,186,195,133,54,51,112,186,206,134,65,41,212,372,401,267,119,92,0,16,35,22,8,9,0,17,40,27,15,5,0,33,75,49,23,14,58.333332,41.666668,0,58.974358,41.025642,0,58.674465,41.325535,0,17.213116,76.229507,6.5573769,24.814816,68.888885,6.2962961,21.206226,72.373543,6.4202332,32.35294,57.35294,10.294118,33.333332,55.826557,10.840109,32.863186,56.558533,10.578279,48.333332,44.333332,7.3333335,53.061226,39.067055,7.8717203,50.855366,41.524105,7.6205287,67.539268,28.272251,4.1884818,62.441315,30.516432,7.0422535,64.851486,29.455446,5.6930695,81.366463,15.83851,2.7950311,81.376518,16.59919,2.0242915,81.370827,16.168716,2.4604568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019,Aura,Finland,246,1996,FI003,Turku,95.58000183105469,Metropolitan Area,FI1C1,,34.327263,125,1130,1285,60,582,617,65,548,668,4.9212599,44.48819,50.590549,4.765687,46.227165,49.007149,5.0741606,42.779079,52.146759,3281,2540,742,,464,,1259,,,187,,1281,,,277,209,221,266,259,127,173,224,270,208,141,382,445,536,467,268,105,43,78,111,102,227,127,56,86,118,90,161,232,99,164,229,192,388,66,168,165,82,38,47,81,153,159,122,33,24,147,321,324,204,71,71,2,13,27,15,1,3,1,12,21,19,4,2,3,25,48,34,5,5,60.693642,38.150288,1.1560694,60.765549,38.755981,.47846889,60.732983,38.481674,.78534031,19.196428,75,5.8035712,25.339367,69.230766,5.4298644,22.24719,72.134834,5.6179776,28.888889,61.111111,10,32.330826,59.774437,7.8947368,30.597015,60.447762,8.955224,53.365383,39.423077,7.2115383,45.559845,47.104248,7.3359075,49.036404,43.683083,7.2805138,72.340424,26.950356,.70921987,70.866142,25.984251,3.1496062,71.641792,26.492537,1.8656716,81.949455,16.967508,1.0830325,86.09626,12.834225,1.0695187,83.620689,15.301724,1.0775862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,Brändö,Finland,246,1996,,,1643.06005859375,Rural and Towns,FI200,,.32500333,39,149,252,24,76,124,15,73,128,8.863636,33.863636,57.272728,10.714286,33.92857,55.357143,6.9444447,33.796295,59.259258,534,440,94,,110,,224,,,50,,216,,,60,12,38,40,39,33,17,27,31,37,25,29,65,71,76,58,4,3,11,21,19,51,8,11,22,17,18,38,12,14,33,38,37,89,12,18,15,15,6,9,4,20,12,19,11,6,16,38,27,34,17,15,1,6,5,1,0,0,0,7,6,3,4,6,1,13,11,4,4,6,23.529411,70.588234,5.8823528,66.666664,33.333332,0,41.379311,55.172413,3.4482758,11.111111,66.666664,22.222221,28.947369,52.63158,18.421053,21.538462,58.46154,20,35.483871,48.387096,16.129032,55,30,15,46.478874,38.028168,15.492958,56.756756,40.540539,2.7027028,43.589745,48.717949,7.6923075,50,44.736843,5.2631578,76,24,0,54.545456,33.333332,12.121212,63.793102,29.310345,6.8965516,85,15,0,76,12,12,80.909088,13.636364,5.4545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043,Eckerö,Finland,246,1996,,,752.6699829101563,Rural and Towns,FI200,,1.0841405,26,256,372,18,132,171,8,124,201,3.9755352,39.14373,56.880733,5.6074767,41.121494,53.271027,2.4024024,37.237236,60.360359,816,654,162,,138,,321,,,55,,333,,,83,39,51,60,62,34,37,43,64,61,33,76,94,124,123,67,21,9,24,37,24,74,20,17,21,40,22,43,41,26,45,77,46,117,16,34,33,24,8,9,19,29,36,21,9,10,35,63,69,45,17,19,0,0,7,0,1,0,0,5,3,1,3,2,0,5,10,1,4,2,56.756756,43.243244,0,51.282051,48.717949,0,53.947369,46.052631,0,20.930233,79.069771,0,33.333332,56.862743,9.8039217,27.659575,67.021278,5.319149,37.5,51.5625,10.9375,35,60,5,36.290321,55.645161,8.0645161,60.655739,39.344261,0,64.516129,33.870968,1.6129032,62.601627,36.585365,.81300813,72.727272,24.242424,3.030303,64.705879,26.470589,8.8235292,68.656715,25.373135,5.970149,89.156624,10.843373,0,78.181816,18.181818,3.6363637,84.782608,13.768116,1.4492754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046,Enonkoski,Finland,246,1996,,,419.2000122070313,Rural and Towns,FI1D1,,4.8544846,73,690,895,37,325,468,36,365,427,4.402895,41.616405,53.980701,4.4578314,39.156628,56.385544,4.347826,44.082127,51.570049,2035,1658,376,,438,,830,,,181,,828,,,257,109,123,149,174,120,100,104,129,137,106,209,227,278,311,226,56,9,28,50,70,202,64,36,53,91,91,147,120,45,81,141,161,349,44,87,86,79,34,51,45,78,84,76,25,30,89,165,170,155,59,81,0,8,15,8,2,4,0,9,12,7,4,4,0,17,27,15,6,8,56,44,0,58.715595,41.284405,0,57.416267,42.583733,0,8.6538458,83.653847,7.6923075,29.268293,63.414635,7.3170733,19.823788,72.687225,7.488987,21.705427,66.666664,11.627907,35.570469,56.375839,8.0536909,29.13669,61.151077,9.7122307,36.496349,57.664234,5.839416,52.298851,43.678162,4.0229883,45.33762,49.83923,4.8231511,66.037735,32.07547,1.8867924,75.833336,20.833334,3.3333333,71.238937,26.106195,2.6548672,78.59922,19.844358,1.5564202,81.215469,16.574585,2.2099447,79.680367,18.493151,1.826484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
