country,ccode,year,lau,launame,urban_area_type,NUTS3CODE,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,pop_density_km_sq,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_under15,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,population_m_25plus,population_f_25plus,population_25plus,population_m_45to64,population_f_45to64,population_45to64
Greece,300,2011,EL301,Northern Athens,5,EL301,118630,180120,90370,59680,82990,38650,58950,97130,51720,7670,1640,2780,5670,9010,24950,8380,2970,3920,4220,6110,13050,16050,4610,6700,9890,15120,38000,11600,16870,20960,18690,14910,14100,11580,18030,17420,14370,10570,11020,23180,34900,38380,33060,25480,25120,2360,15610,15870,11780,8050,5280,1250,11650,14290,11420,9960,11110,3610,27260,30160,23200,18010,16390,30270,44050,58430,71410,56590,85530,74320,156940,115020,0,0,0,0,0,0,0,0,0,30.486738,46.289063,23.224199,32.914185,45.769909,21.315907,28.368624,46.742062,24.889317,37.464985,54.108311,8.4267044,6.9042983,52.268982,40.826717,8.9048376,51.010101,40.08506,14.95087,49.977325,35.071808,25.797646,43.473812,30.728544,47.792732,31.59351,20.61376,39.509666,54.596889,5.8934464,9.0964775,55.222054,35.681469,11.001965,48.891384,40.106651,14.061979,47.884037,38.053982,22.935436,39.677177,37.387386,37.09494,31.324615,31.580442,35.460011,53.629219,10.910772,4.8065653,49.443142,45.750294,7.0184298,52.915932,40.065639,15.688988,51.715549,32.595463,28.182671,46.637474,25.179855,56.282429,31.806902,11.91067,0,453570,389120,64450,0,79510,214720,181320,33400,146140,35180,238850,207800,31050,163470,44330,0,21210,32650,35630,30010,26640,21630,34120,39610,36140,31970,42840,66770,75240,66150,58610,160110,186170,346280,0,0,0
Greece,300,2011,EL302,Western Athens,5,EL302,45310,196540,169400,21040,101350,77250,24270,95190,92150,9900,4530,8210,13430,17480,38600,11440,7770,9150,11130,13100,24660,21340,12300,17360,24560,30580,63260,14610,25240,26300,17970,7470,3600,15340,26150,24980,18640,9570,6670,29950,51390,51280,36610,17040,10270,1640,8440,7010,4490,1980,710,660,5390,5570,4840,2860,1720,2300,13830,12580,9330,4840,2430,65810,82250,20380,86010,22630,80580,148060,166590,43010,0,0,0,0,0,0,0,0,0,11.01763,47.790882,41.191486,10.53897,50.76638,38.694649,11.469213,44.983696,43.547092,39.820862,55.887291,4.2918453,15.866873,66.292572,17.840557,21.374046,63.137157,15.488796,34.83688,51.929077,13.234042,58.29203,32.481892,9.2260771,83.28067,13.520274,3.1990521,41.690964,55.90379,2.4052477,19.765963,66.522514,13.711524,23.047859,62.921913,14.030227,32.158337,53.857265,13.984398,51.312183,37.485313,11.202507,74.61422,20.181543,5.204236,37.858509,55.86998,6.2715106,11.855536,66.056007,22.088459,19.773603,63.342968,16.883429,37.419895,50.069656,12.510448,64.909027,27.738583,7.3523951,89.955719,8.3896532,1.654626,0,481550,411250,70300,0,75960,235620,199640,35980,166590,33050,245930,211610,34320,168700,42910,0,27440,39310,39700,34610,25530,26150,38210,41520,35890,26930,53590,77520,81220,70500,52460,172200,185460,357660,0,0,0
Greece,300,2011,EL303,Central Athens,5,EL303,226510,494390,294690,109460,235140,129640,117050,259250,165050,19660,9240,11330,18690,28700,77430,23770,16670,16720,15150,19160,38170,43430,25910,28050,33840,47860,115600,36290,49360,53120,48340,33350,38790,35200,55790,51650,39060,25930,27510,71490,105150,104770,87400,59280,66300,5410,31490,28590,23230,15760,12570,2730,23150,23320,20680,18110,21470,8140,54640,51910,43910,33870,34040,105870,145390,106730,199940,111640,222960,251260,422900,218370,0,0,0,0,0,0,0,0,0,22.303291,48.68008,29.016632,23.081141,49.582489,27.33637,21.621872,47.889538,30.488594,35.291725,58.093613,6.6146593,13.952612,56.623589,29.423801,15.184323,56.715206,28.100471,20.490463,52.921585,26.58795,33.940857,42.03957,24.019573,53.53339,30.702972,15.763638,38.52512,57.050243,4.4246354,17.435415,58.351639,24.21295,18.235359,56.331116,25.433525,20.22967,52.156498,27.613832,30.316456,41.028481,28.655064,43.79805,31.566265,24.635685,32.040417,59.142765,8.8168182,10.256411,54.789654,34.953934,12.177558,57.093723,30.728718,20.706846,53.556393,25.736759,36.88472,42.860817,20.254465,60.121128,30.118799,9.7600746,0,1156730,1015590,141140,0,215940,546350,474240,72110,387090,87150,610380,541350,69030,412560,128790,0,61700,95610,91690,74890,63200,61360,90090,93040,90260,77810,123060,185700,184730,165150,141010,412540,479990,892530,0,0,0
Greece,300,2011,EL304,Southern Athens,5,EL304,93800,215370,113340,45740,101410,47470,48060,113960,65870,8310,2470,3690,7530,11840,32030,9470,3730,4160,5590,7860,16660,17780,6200,7850,13120,19700,48690,14040,21780,25700,21560,16280,14600,13850,22250,21840,17860,12470,13140,27890,44030,47540,39420,28750,27740,2170,13070,12710,9810,6070,4230,870,9440,10620,9170,8420,7220,3040,22510,23330,18980,14490,11450,38000,57560,44870,87560,45890,99920,95560,187480,90760,0,0,0,0,0,0,0,0,0,22.200659,50.973942,26.825401,23.502209,52.10667,24.391121,21.089121,50.00658,28.904295,36.501747,57.257236,6.2410183,8.5235081,60.530659,30.945835,9.9720526,60.391262,29.636686,18.344519,55.117451,26.538031,31.29965,45.678425,23.021925,55.405098,31.565771,13.029131,39.148407,57.255062,3.5965276,10.530774,62.817616,26.651609,11.359913,59.639542,29.000546,17.136726,54.751686,28.111588,27.33913,43.373913,29.286957,45.002701,35.494328,19.502972,33.890701,57.25938,8.8499184,6.6184354,58.36013,35.021435,8.7648458,61.045132,30.190023,19.357327,55.424164,25.21851,34.630009,47.616261,17.753729,62.976799,28.706253,8.3169489,0,489410,422510,66900,0,87880,229620,194620,35000,157600,37020,259790,227890,31900,177030,50860,0,24190,35420,36620,32620,28750,24520,37320,42100,38900,34190,48710,72740,78720,71520,62940,170430,203370,373800,0,0,0
Greece,300,2011,EL305,Eastern Attica,4,EL305,74290,184790,141730,38610,91000,67690,35680,93790,74040,10110,5070,6680,10370,14270,27540,11870,7690,8980,8730,10790,19630,21980,12760,15660,19100,25060,47170,11740,20760,25030,16450,11700,8110,12240,20420,22450,16120,10180,9590,23980,41180,47480,32570,21880,17700,1730,9660,10600,6800,4520,2370,810,7530,9480,8040,6980,5770,2540,17190,20080,14840,11500,8140,55820,63930,37800,78760,33950,82050,119750,160810,71750,0,0,0,0,0,0,0,0,0,18.534967,46.104137,35.360897,19.569183,46.122658,34.308159,17.532307,46.086185,36.381504,45.319588,49.443298,5.2371135,17.938986,57.893997,24.167019,18.817593,57.053593,24.128815,28.717487,48.970081,22.312433,42.881588,37.440109,19.678303,64.60759,24.243254,11.149158,47.632423,49.117172,3.2504013,21.576881,57.295174,21.127945,21.950623,54.87656,23.172819,26.543022,49.011856,24.44512,38.604652,36.422184,24.973166,56.101742,27.407831,16.490425,42.875317,49.787956,7.3367257,14.285714,58.49535,27.218935,15.788229,59.158592,25.053179,30.844734,48.929207,20.226057,46.802231,38.373238,14.824533,72.435562,21.330879,6.2335615,0,485650,400810,84840,0,73010,239810,197300,42510,162310,34990,245840,203510,42330,165490,38020,0,24920,35640,40910,32890,27950,23580,35490,42310,33620,30490,48500,71130,83220,66510,58440,172380,179930,352310,0,0,0
Greece,300,2011,EL306,Western Attica,4,EL306,8530,51380,66990,3860,26740,32300,4670,24640,34690,4480,3150,3990,5780,6070,11220,5020,5250,5180,4350,4800,7700,9500,8400,9170,10130,10870,18920,4350,7230,6370,4100,1740,850,4220,6870,6400,5320,2480,1450,8570,14100,12770,9420,4220,2300,420,1600,1320,830,400,100,110,1030,930,820,660,310,530,2630,2250,1650,1060,410,27280,30210,3750,22520,4250,20290,57490,42810,8000,0,0,0,0,0,0,0,0,0,6.721828,40.488575,52.7896,6.1367249,42.511925,51.351353,7.296875,38.5,54.203125,51.075268,46.075268,2.8494625,33.426182,56.108238,10.465579,37.908226,52.790409,9.3013639,47.78302,44.433964,7.7830186,67.306503,26.13003,6.5634675,87.471107,10.633379,1.8955154,53.689838,45.13369,1.1764706,39.923954,52.243347,7.8326998,41.406872,51.159073,7.4340529,41.468063,50.714966,7.8169684,60.4534,31.234257,8.3123426,81.395348,15.327696,3.2769556,48.432434,47.027027,4.5405407,26.293823,60.350582,13.355593,34.160957,54.53767,11.30137,53.968254,38.281979,7.7497663,73.934227,21.193666,4.872107,92.193916,6.9843879,.82169271,0,154630,126900,27730,0,21630,77250,62900,14350,53440,9460,77380,64000,13380,51830,12170,0,9350,13150,12510,10490,7940,9250,11980,11680,10710,8210,18600,25130,24190,21200,16150,53550,54750,108300,0,0,0
Greece,300,2011,EL307,"Piraeus, Islands",5,EL307,45670,215040,181920,21610,112350,77880,24060,102690,104040,9980,5300,8880,14990,20290,44600,11630,8050,9610,10000,12870,25720,21610,13350,18490,24990,33160,70320,14590,24650,26480,18530,10830,7610,15100,26150,25690,19670,13480,12260,29690,50800,52170,38200,24310,19870,1570,7650,6650,4550,2270,1370,710,5160,5510,4230,3360,2640,2280,12810,12160,8780,5630,4010,66250,94060,20900,97250,22490,88100,160310,185350,43390,0,0,0,0,0,0,0,0,0,10.317873,48.582336,41.099789,10.201096,53.035309,36.763596,10.425062,44.494995,45.079945,40.332214,55.412468,4.2553191,17.346674,66.008316,16.64501,22.325525,62.992031,14.682444,34.722801,53.077671,12.199528,52.551506,38.52615,8.9223452,74.649681,21.093418,4.2569003,42.383381,55.029156,2.5874636,20.452236,66.438011,13.109756,23.548151,62.950256,13.501593,29.498526,58.023598,12.477877,43.318748,45.371929,11.309323,63.318562,30.182177,6.4992614,38.179035,55.814842,6.0061207,14.095745,65.55851,20.345745,21.137825,63.032612,15.829564,39.374836,48.673496,11.951668,60.766697,32.43486,6.7984428,83.240013,14.20306,2.5569243,0,513580,442630,70950,0,94200,248510,211840,36670,171220,40620,265070,230790,34280,177210,53580,0,27440,39360,40810,33900,29710,26140,37600,42010,38070,33390,53580,76960,82820,71970,63100,184400,204650,389050,0,0,0
Greece,300,2011,EL411,"Lesbos, Lemnos",1,EL411,9080,28720,47260,4330,14990,21590,4750,13730,25670,2220,1480,2390,3130,4400,12050,2360,2080,2600,2630,3270,8650,4580,3560,4990,5760,7670,20700,2520,3710,3410,1950,1340,800,2360,3810,3730,2590,1440,1060,4880,7520,7140,4540,2780,1860,320,1550,1330,850,460,240,80,1090,960,840,720,640,400,2640,2290,1690,1180,880,19230,23450,4250,12630,4430,11210,42680,23840,8680,0,0,0,0,0,0,0,0,0,10.674818,33.7644,55.56078,10.584209,36.641407,52.774384,10.758777,31.098528,58.142696,46.450306,49.492901,4.0567951,25.947521,54.810497,19.241983,34.604717,49.514565,15.880721,48.040035,37.864887,14.095079,65.950127,23.903698,10.146173,88.310577,7.9351535,3.7542663,49.166668,49.166668,1.6666666,29.799427,54.584526,15.616046,35.665295,51.165981,13.168724,43.399342,42.739273,13.861386,60.220993,26.519337,13.259668,83.574883,10.241546,6.1835747,43.873516,49.802372,6.3241105,21.958456,55.04451,22.997032,33.520336,47.826088,18.653576,52.782463,32.883644,14.333896,70.967743,21.612904,7.4193549,92.055,6.1115355,1.8334607,0,99490,85060,14430,0,23440,48460,40910,7550,30560,10350,51030,44150,6880,31060,13090,0,4800,6980,7290,6060,5430,5060,6740,7130,5930,6200,9860,13720,14420,11990,11630,36110,39090,75200,0,0,0
Greece,300,2011,EL412,"Ikaria, Samos",1,EL412,3220,14030,18670,1470,7570,8580,1750,6460,10090,710,630,910,1350,1660,4830,940,860,1010,1140,1390,3240,1650,1490,1920,2490,3050,8070,1050,1670,1430,1230,680,400,1300,1860,1420,1250,920,820,2350,3530,2850,2480,1600,1220,70,570,510,390,120,90,50,300,390,260,270,200,120,870,900,650,390,290,7640,9380,1420,6270,1680,5410,17020,11680,3100,0,0,0,0,0,0,0,0,0,8.964365,39.059021,51.976616,8.3427925,42.962543,48.694664,9.5628414,35.300545,55.136612,40.048542,57.038834,2.9126213,25.297113,59.932087,14.770798,33.862434,50.264549,15.873015,44.306049,44.128113,11.565836,60.515873,31.746031,7.7380953,84.237999,12.734864,3.0271399,41.048035,56.768559,2.1834061,28.476822,61.589405,9.9337749,35.815601,50.35461,13.829787,43.018867,47.169811,9.8113203,53.875969,35.658916,10.465117,76.056335,19.248827,4.6948357,38.797813,57.377048,3.8251367,21.95122,58.188152,19.860628,31.929825,50.175438,17.894737,45.454544,41.414143,13.131313,67.479675,27.642277,4.8780489,90.789474,7.5187969,1.6917293,0,42190,35920,6270,0,9580,20650,17620,3030,13360,4260,21540,18300,3240,12980,5320,0,2290,3020,2820,2650,2580,1830,2870,2850,2970,2460,4120,5890,5670,5620,5040,15330,16470,31800,0,0,0
Greece,300,2011,EL413,Chios,2,EL413,4490,18920,19410,1980,10370,8650,2510,8550,10760,1050,520,1000,1270,1800,5120,1230,710,1000,980,1400,3330,2280,1230,2000,2250,3200,8450,910,2300,2060,1560,1100,620,1470,2560,2090,1640,1480,1130,2380,4860,4150,3200,2580,1750,220,900,690,400,190,110,90,550,530,370,250,190,310,1450,1220,770,440,300,7420,9710,1890,8900,2290,7640,17130,16540,4180,0,0,0,0,0,0,0,0,0,10.485754,44.184959,45.329285,9.4285717,49.380951,41.190475,11.503208,39.184235,49.312557,45.875252,47.887325,6.2374244,16.312998,64.45623,19.23077,27.137043,56.309361,16.553596,36.173634,51.446945,12.379421,51.446945,41.479099,7.0739551,80.476189,16.666666,2.8571429,44.086021,52.688171,3.2258065,18.586388,67.015709,14.397905,27.62431,57.734806,14.640884,32.775921,54.849499,12.374582,44.728436,47.284344,7.9872203,71.6129,24.301075,4.0860214,48.165138,41.743118,10.091743,13.978495,61.827957,24.193548,26.666666,54.933334,18.4,39.318886,48.297215,12.383901,58.252426,35.598705,6.1488671,87.52137,10.59829,1.8803419,0,50080,42820,7260,0,10500,24590,21000,3590,16350,4650,25490,21820,3670,15970,5850,0,2790,3820,3620,2990,3130,2180,3720,3750,3230,3090,4970,7540,7370,6220,6220,18210,19640,37850,0,0,0
