ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM0765",2002,"NL111",2,7552,"","","","GM0765",.7293095,10355,1675994,9501152,2535762,452,785,2434,996,23,1586,1236,4712,40,.5966631,.0598517,.103946,.3222987,.1318856,.0030456,.2100106,.1636652,.6239407,.0052966,.3222987,.0885858,.1857786,.0272775,.0030456,0,0,.103946,0,.0598517,0,,.1636652,0,.024232,.0160222,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0052966,.4828893,1,1,2434,669,1403,206,23,0,0,785,0,452,0,,1236,0,183,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1950",2002,"NL111",1,15380,"","","","GM1950",.7489107,20600,967009,9501152,2535762,821,910,4143,2691,42,4077,2625,10316,71,.6348504,.053381,.0591678,.2693758,.1749675,.0027308,.2650845,.1706762,.6707412,.0046164,.2693758,.1213264,.2441482,.0358908,.0027308,0,0,.0591678,0,.053381,0,,.1706762,0,.0209363,.0177503,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0046164,.463019,1,1,4143,1866,3755,552,42,0,0,910,0,821,0,,2625,0,322,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0037",2002,"NL111",2,19263,"","","","GM0037",.7393491,26054,1675994,9501152,2535762,864,836,4437,2622,88,7883,2439,12866,94,.6411774,.0448528,.0433993,.2303379,.1361159,.0045683,.4092301,.1266158,.6679126,.0048798,.2303379,.0898095,.32103,.0267352,.0045683,0,0,.0433993,0,.0448528,0,,.1266158,0,.0882002,.0195712,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0048798,.3908094,1,3,4437,1730,6184,515,88,0,0,836,0,864,0,,2439,0,1699,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1895",2002,"NL111",1,23460,"","","","GM1895",.7422727,31308,967009,9501152,2535762,1574,1884,6845,3995,48,5200,3787,14889,127,.5953538,.0670929,.0803069,.2917732,.1702899,.002046,.2216539,.1614237,.6346547,.0054135,.2917732,.1147911,.1887894,.0393009,.002046,0,0,.0803069,0,.0670929,0,,.1614237,0,.0328645,.0161978,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0054135,.4597067,1,1,6845,2693,4429,922,48,0,0,1884,0,1574,0,,3787,0,771,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0047",2002,"NL111",3,16299,"Groningen","NL007","Groningen","GM0047",.7447567,21885,4600133,9501152,2535762,888,1074,4889,3467,17,3386,2416,10956,162,.6245782,.0544819,.0658936,.2999571,.2127124,.001043,.2077428,.14823,.6721885,.0099393,.2999571,.1436898,.1809313,.0476103,.001043,0,0,.0658936,0,.0544819,0,,.14823,0,.0268115,.0214124,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0099393,.5006459,1,1,4889,2342,2949,776,17,0,0,1074,0,888,0,,2416,0,437,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0024",2002,"NL112",3,6896,"Groningen","NL007","Groningen","GM0024",.8359801,8249,4600133,9501152,2535762,349,534,1320,1070,86,2858,656,4676,23,.6425464,.050609,.0774362,.1914153,.1551624,.012471,.4144431,.0951276,.6780742,.0033353,.1914153,.1057135,.3454176,.0355278,.012471,0,0,.0774362,0,.050609,0,,.0951276,0,.0690255,.0139211,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0033353,.307009,0,3,1320,729,2382,245,86,0,0,534,0,349,0,,656,0,476,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0010",2002,"NL112",3,16491,"Groningen","NL007","Groningen","GM0010",.7412352,22248,4600133,9501152,2535762,825,870,4199,3004,34,4876,2555,11121,128,.6355588,.0500273,.052756,.2546237,.18216,.0020617,.2956764,.154933,.6743678,.0077618,.2546237,.1234006,.2575344,.038809,.0020617,0,0,.052756,0,.0500273,0,,.154933,0,.038142,.0199503,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0077618,.4191392,1,3,4199,2035,4247,640,34,0,0,870,0,825,0,,2555,0,629,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0003",2002,"NL112",3,7263,"Groningen","NL007","Groningen","GM0003",.743246,9772,4600133,9501152,2535762,382,397,2074,1280,15,2043,1020,4999,52,.6398183,.0525953,.0546606,.2855569,.1762357,.0020653,.2812887,.1404378,.6882831,.0071596,.2855569,.1090458,.2452155,.0484648,.0020653,0,0,.0546606,0,.0525953,0,,.1404378,0,.0360732,.018725,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0071596,.4593618,1,1,2074,792,1781,352,15,0,0,397,0,382,0,,1020,0,262,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1969",2002,"NL113",1,36308,"","","","GM1969",.8271649,43590,967009,9501152,2535762,1545,2029,6136,6292,322,15718,4122,24065,144,.6269968,.0425526,.055883,.1689986,.1732951,.0088686,.4329073,.1135287,.6628016,.0039661,.1689986,.1244905,.3335078,.0358048,.0088686,0,0,.055883,0,.0425526,0,,.1135287,0,.0993996,.0129999,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0039661,.2761411,0,3,6136,4520,12109,1300,322,0,0,2029,0,1545,0,,4122,0,3609,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1966",2002,"NL113",1,33182,"","","","GM1966",.841523,39551,967009,9501152,2535762,1835,2132,6978,5348,184,13220,3379,21992,106,.6233801,.0553011,.0642517,.2102947,.1611717,.0055452,.3984088,.1018323,.662769,.0031945,.2102947,.1072569,.3058285,.0393888,.0055452,0,0,.0642517,0,.0553011,0,,.1018323,0,.0925803,.0145259,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0031945,.3072583,0,3,6978,3559,10148,1307,184,0,0,2132,0,1835,0,,3379,0,3072,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
