ccode,lau,year,NUTS3CODE,urban_combined,total_votes,Nameoffunctionalurbanarea,fua_oecd,fuaname,oecd_mun_id,to1,total_voters,total_urban_votes,total_nat_votes,total_urbano_votes,vote_communist,vote_green,vote_sd,vote_lib,vote_cons,vote_cd,vote_rpop,vote_mainstream,vote_other,main_netherlands,pct_communist,pct_green,pct_sd,pct_liberal,pct_cons,pct_cd,pct_rpop,pct_main,pct_other,share_party001,share_party002,share_party003,share_party004,share_party005,share_party006,share_party007,share_party008,share_party009,share_party0010,share_party0011,share_party0012,share_party0013,share_party0014,share_party0015,share_party0016,share_party0017,share_party0018,share_party0019,share_party0020,share_party0021,share_party0022,share_party0023,share_party0024,share_party0025,share_party0026,share_party0027,share_party0028,share_party0029,share_party0030,share_party0031,share_party0032,share_party0033,share_party0034,share_party0035,share_party0036,share_party0037,share_party0038,share_party0039,share_party0040,share_party0041,share_party0042,share_party0043,share_party0044,share_party0045,share_party0046,share_party0047,share_party0048,share_party0049,share_party0050,share_party0051,share_party0052,share_party0053,share_party0054,share_party0055,share_party0056,share_party0057,share_party0058,share_party0059,share_party0060,share_party0096,share_start,sd_start,party_top,party001,party002,party003,party004,party005,party006,party007,party008,party009,party0010,party0011,party0012,party0013,party0014,party0015,party0016,party0017,party0018,party0019,party0020,party0021,party0022,party0023,party0024,party0025,party0026,party0027,party0028,party0029,party0030,party0031,party0032,party0033,party0034,party0035,party0036,party0037,party0038,party0039,party0040,party0041,party0042,party0043,party0044,party0045,party0046,party0047,party0048,party0049,party0050,party0051,party0052,party0053,party0054,party0055,party0056,party0057,party0058,party0059,party0060,party0096
528,"GM0049",1989,"",,1577,"","","","GM0049",.8810056,1790,2869,8876514,2869,3,55,723,306,56,414,2,1443,18,.8566899,.0019023,.0348763,.4584654,.1940393,.0355105,.2625238,.0012682,.9150285,.0114141,.4584654,.1357007,.2625238,.0583386,.0019023,.0240964,.0095117,.0348763,.0012682,.0019023,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0114141,,,1,723,214,414,92,3,38,15,55,2,3,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0445",1989,"",,1292,"","","","GM0445",.7839806,1648,2869,8876514,2869,2,66,343,382,8,468,6,1193,17,.8235294,.001548,.0510836,.2654799,.2956656,.006192,.3622291,.004644,.9233746,.0131579,.2654799,.1958204,.3622291,.0998452,0,.005418,.000774,.0510836,.004644,.001548,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0131579,,,3,343,253,468,129,0,7,1,66,6,2,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1895",1989,"NL111",1,27143,"","","","GM1895",.8706405,31682,937244,8876514,2439939,37,1290,15535,3918,642,4944,81,24397,696,.8537377,.0013632,.0475261,.5723391,.1443466,.0236525,.1821464,.0029842,.8988321,.025642,.5723391,.0992521,.1821464,.0450945,.0011421,.0104263,.0120841,.0475261,.0029842,.0013632,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.025642,.4597067,1,1,15535,2694,4944,1224,31,283,328,1290,81,37,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0047",1989,"NL111",3,17898,"Groningen","NL007","Groningen","GM0047",.8447633,21187,4288964,8876514,2439939,55,495,10180,3393,387,3178,78,16751,132,.8752375,.003073,.0276567,.5687786,.1895743,.0216225,.1775617,.004358,.9359146,.0073751,.5687786,.1288971,.1775617,.0606772,.0006705,.0104481,.010504,.0276567,.004358,.003073,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0073751,.5006459,1,1,10180,2307,3178,1086,12,187,188,495,78,55,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0037",1989,"NL111",2,21730,"","","","GM0037",.8502563,25557,1582369,8876514,2439939,17,493,9894,2380,1582,7177,61,19451,126,.8578923,.0007823,.0226875,.4553152,.109526,.0728026,.3302807,.0028072,.8951219,.0057984,.4553152,.0722964,.3302807,.0372296,.0022089,.033318,.0372757,.0226875,.0028072,.0007823,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0057984,.3908094,1,1,9894,1571,7177,809,48,724,810,493,61,17,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM1950",1989,"NL111",1,17084,"","","","GM1950",.8475373,20224,937244,8876514,2439939,19,415,9191,2502,403,4333,41,16026,180,.8997307,.0011122,.0242917,.5379888,.1464528,.0235893,.2536291,.0023999,.9380707,.0105362,.5379888,.1081129,.2536291,.03834,.0014634,.006907,.0152189,.0242917,.0023999,.0011122,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0105362,.463019,1,1,9191,1847,4333,655,25,118,260,415,41,19,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0765",1989,"NL111",2,8625,"","","","GM0765",.8539072,10073,1582369,8876514,2439939,17,674,5195,873,217,1521,21,7589,107,.8468406,.001971,.0781449,.6023188,.1012174,.0251594,.1763478,.0024348,.8798841,.0124058,.6023188,.0681739,.1763478,.0330435,.0055652,.0074203,.0121739,.0781449,.0024348,.001971,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0124058,.4828893,1,1,5195,588,1521,285,48,64,105,674,21,17,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0024",1989,"NL112",3,7240,"Groningen","NL007","Groningen","GM0024",.8901331,8124,4288964,8876514,2439939,7,300,2635,1021,587,2570,5,6226,115,.8107735,.0009669,.0414365,.3639503,.1410221,.0810773,.3549724,.0006906,.8599448,.015884,.3639503,.0918508,.3549724,.0491713,.0031768,.0600829,.0178177,.0414365,.0006906,.0009669,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.015884,.307009,0,1,2635,665,2570,356,23,435,129,300,5,7,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0010",1989,"NL112",3,19738,"Groningen","NL007","Groningen","GM0010",.8307145,24375,4288964,8876514,2439939,63,681,9310,3683,684,5024,84,18017,209,.8449184,.0031918,.034502,.471679,.1865944,.034654,.2545344,.0042558,.9128078,.0105887,.471679,.118705,.2545344,.0678893,.0021785,.0175296,.0149458,.034502,.0042558,.0031918,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0105887,.4191392,1,1,9310,2343,5024,1340,43,346,295,681,84,63,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,"GM0003",1989,"NL112",3,8051,"Groningen","NL007","Groningen","GM0003",.8375989,9612,4288964,8876514,2439939,17,292,4120,1158,248,2121,17,7399,78,.8643646,.0021115,.0362688,.5117376,.1438331,.0308036,.2634455,.0021115,.9190162,.0096882,.5117376,.0891815,.2634455,.0546516,.0022357,.0207428,.0078251,.0362688,.0021115,.0021115,0,,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.0096882,.4593618,1,1,4120,718,2121,440,18,167,63,292,17,17,0,,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
