lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
7602,Albany Ward,New Zealand,554,2018,1,Auckland,537.3773193359375,Major City and Close Suburbs,,,314.22055,40260,48597,26691,18264,25932,12162,21996,22665,14529,29.224739,35.276569,19.375,27.439491,38.959751,18.271961,30.893692,31.833313,20.406185,168855,137760,,,26424,82530,66561,15969,,12123,86325,71199,15126,,14301,11388,10740,10971,11583,9756,10788,10914,11817,12702,10677,22176,21654,22788,24285,20433,2361,801,975,1956,2337,6099,2823,1119,1170,1755,1776,3519,5184,1920,2145,3711,4113,9618,5313,3066,3324,4227,3351,3384,6000,4140,3786,4338,3663,4005,11313,7206,7110,8565,7014,7389,1656,5631,5754,4506,2745,1704,1077,4095,4263,3681,2709,2439,2733,9726,10017,8187,5454,4143,21.885427,49.249165,15.350389,24.789251,52.687038,9.4573231,23.376623,51.01461,12.324134,7.3391972,28.092358,51.594284,10.418994,38.547485,38.12849,8.8667221,33.277916,44.915489,8.2508249,28.128967,48.692562,10.664479,34.509159,38.856987,9.4128485,31.200632,43.957348,15.39915,33.278225,35.474728,15.151515,37.451439,31.779331,15.281037,35.268684,33.71217,21.88817,31.385221,25.709469,18.204182,37.546127,27.767529,20.129202,34.326824,26.692116,42.647366,23.662682,11.915251,29.027468,33.036377,20.118782,36.398727,27.963215,15.678928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7607,Albert-Eden-Roskill Ward,New Zealand,554,2018,1,Auckland,61.99145889282227,Major City and Close Suburbs,,,2552.6257,51678,38118,19623,24267,20049,9402,27411,18069,10221,39.339546,29.017082,14.937882,37.352234,30.859808,14.47174,41.284115,27.213989,15.394,158241,131364,,,17361,78678,64968,13710,,7845,79563,66396,13167,,9516,12891,15213,10704,10266,8049,12057,14442,10932,11043,8406,24948,29655,21636,21309,16455,1944,744,816,1473,1659,3585,2307,993,1038,1341,1500,2223,4251,1737,1854,2814,3159,5808,5454,2883,2529,2838,2310,2055,6039,4068,2817,2838,2352,1935,11493,6951,5346,5676,4662,3990,2742,8631,6204,5181,2949,1704,2187,7485,5154,4461,2901,2079,4929,16116,11358,9642,5850,3783,16.123413,45.235134,22.741976,17.896206,46.846638,16.965324,17.039442,46.067822,19.757095,5.1516409,19.962608,59.763191,6.5273123,26.740288,49.20134,5.8573594,23.439554,54.344967,7.464325,23.133919,56.750824,9.6973095,26.317265,48.150223,8.5690517,24.708818,52.495842,13.338767,25.699537,46.916599,13.062536,27.644651,43.454121,13.205688,26.636633,45.248486,19.735903,27.480371,35.082085,18.635855,29.221022,36.041744,19.197813,28.331814,35.551502,37.673393,21.595207,17.906683,28.336519,24.665392,26.500956,33.454292,22.982548,21.79022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Ashburton District,New Zealand,554,2018,.,,6189.51708984375,Rural and Towns,,,5.3868499,3477,10224,10230,1374,5460,5277,2103,4764,4953,13.026863,38.305046,38.327526,10.168739,40.408527,39.054173,15.957205,36.148418,37.58252,33342,26691,,,6054,16962,13512,3450,,2862,16380,13179,3201,,3192,1962,2421,2019,2175,2073,1590,2208,2010,2133,2046,3552,4629,4029,4308,4119,540,450,408,696,885,1974,705,543,513,858,942,1716,1245,993,921,1554,1827,3690,777,810,792,948,765,672,930,1179,930,888,819,714,1707,1989,1722,1836,1584,1386,129,657,585,324,255,153,96,366,363,219,177,153,225,1023,948,543,432,306,33.962265,48.867924,8.1132078,35.93272,47.400612,4.8929663,35.050674,48.057434,6.3344593,20.380434,36.684784,29.755434,22.428749,48.698883,15.11772,21.451717,42.968243,22.099806,20.298508,39.402985,29.104477,25.408619,46.062408,17.979198,22.85927,42.740135,23.529411,32.6301,44.444443,15.189874,39.448277,40.827587,10.068966,36.072422,42.618385,12.604457,43.255131,37.39003,12.463343,45.441391,39.507961,8.5383501,44.355427,38.455936,10.487983,61.842106,21.052631,4.7932329,59.958073,24.94759,5.345912,60.951439,22.893955,5.0545096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Buller District,New Zealand,554,2018,.,,7949.68310546875,Rural and Towns,,,1.274013,750,2892,3621,273,1533,1863,477,1359,1758,8.7873459,33.884007,42.425308,6.3238358,35.510773,43.154968,11.308677,32.219063,41.67852,10128,8535,,,2364,5142,4317,825,,1215,4986,4218,768,,1149,426,516,492,699,969,453,519,510,738,849,879,1035,1002,1437,1818,159,144,156,300,357,642,138,168,162,288,471,636,297,312,318,588,828,1278,171,186,222,255,306,219,183,231,213,282,345,279,354,417,435,537,651,498,12,87,84,117,102,75,3,30,39,63,63,75,15,117,123,180,165,150,35.099339,37.748344,2.6490066,32.394367,42.957745,.70422536,33.788395,40.273037,1.7064847,27.745665,35.83815,16.763006,32.55814,44.767441,5.8139534,30.144928,40.289856,11.304348,30.588236,43.529411,16.470589,32.92683,43.292683,7.9268293,31.736526,43.413174,12.275449,40.650406,34.552845,15.853659,41.201717,40.343349,9.0128756,40.918579,37.369518,12.526096,42.049469,36.042404,12.014134,48.606812,35.603714,6.5015478,45.544556,35.808582,9.0759077,55.874672,19.060053,6.5274153,52.34568,22.962963,6.1728396,54.060913,21.06599,6.3451777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Carterton District,New Zealand,554,2018,.,,1179.968994140625,Rural and Towns,,,7.7341013,1359,2934,2589,570,1512,1308,789,1422,1281,18.325243,39.563107,34.911003,15.676568,41.58416,35.973598,20.873016,37.619049,33.888889,9126,7416,,,2076,4494,3636,858,,1014,4632,3780,852,,1062,456,399,459,639,669,420,375,546,648,729,876,774,1005,1287,1398,138,63,93,189,261,537,177,96,132,192,237,474,315,159,225,381,498,1011,213,180,234,249,282,264,237,216,195,273,279,312,450,396,429,522,561,576,24,114,201,177,159,114,6,63,102,129,123,147,30,177,303,306,282,261,32.857143,50.714287,5.7142859,38.815788,51.973682,1.3157895,35.958904,51.369862,3.4246576,16.799999,48,30.4,24.06015,54.135338,15.789474,20.542635,51.162792,22.868217,17.032967,42.857143,36.813187,28.758169,42.483662,22.222221,22.38806,42.686565,30.149254,29.166666,38.425926,27.314816,30.046947,42.723003,20.187794,29.603729,40.559441,23.776224,35.802467,38.683128,21.810699,35.42601,41.704037,18.385651,35.622318,40.128754,20.171675,50.564972,24.858757,10.734464,46.745564,30.76923,14.497042,48.699421,27.745665,12.572254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Central Hawke's Bay District,New Zealand,554,2018,.,,3333.046875,Rural and Towns,,,4.2942691,1488,4494,4302,531,2241,2328,957,2253,1974,13.028631,39.348568,37.667454,9.128417,38.525013,40.02063,17.077087,40.203426,35.224838,14313,11421,,,2808,7269,5817,1452,,1395,7044,5604,1440,,1413,708,834,858,945,1077,573,729,780,1005,1104,1281,1563,1638,1950,2181,198,171,180,291,432,702,249,213,246,384,495,741,447,384,426,675,927,1443,291,321,312,471,444,414,336,351,354,375,420,405,627,672,666,846,864,819,33,192,237,198,174,123,15,69,123,96,120,108,48,261,360,294,294,231,34.554974,50.785339,5.7591624,35.169491,47.457626,2.118644,34.894615,48.946136,3.7470727,23.456791,44.032921,26.337448,25.539568,42.08633,8.2733812,24.568138,42.994244,16.698656,23.076923,40,30.384615,28.671329,41.258739,14.335665,26.007326,40.65934,21.978022,28.955223,46.865673,19.701492,40.634922,39.682541,10.158731,34.615383,43.384617,15.076923,39.130436,40.217392,15.76087,45.961002,38.997215,11.142061,42.503437,39.614857,13.480055,49.68153,29.299362,8.7048836,53.118279,29.032259,7.7419353,51.388889,29.166666,8.2264957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Central Otago District,New Zealand,554,2018,.,,9968.4736328125,Rural and Towns,,,2.2959383,2835,7302,6165,1080,3948,3162,1755,3354,3003,14.724214,37.924587,32.019321,10.909091,39.878788,31.939394,18.762028,35.856319,32.103912,22887,19254,,,5220,11781,9900,1881,,2613,11106,9354,1752,,2607,1107,1530,1389,1515,1746,855,1263,1215,1557,1857,1962,2793,2604,3072,3603,282,162,165,435,624,1335,348,261,288,489,573,1203,630,423,453,924,1197,2538,357,474,528,657,699,639,486,636,630,642,759,795,843,1110,1158,1299,1458,1434,69,369,414,339,315,249,39,162,198,201,216,264,108,531,612,540,531,513,32.982456,41.754387,8.0701752,31.436314,43.902439,3.5230353,32.110092,42.966362,5.5045872,12.826603,37.52969,29.216152,17.058823,41.568626,10.588235,15.145005,39.742214,19.011816,13.580247,43.456791,34.074074,20.734341,45.356373,14.25486,17.396313,44.470047,23.502304,27.938343,42.196533,21.77264,32.277229,42.376236,13.267326,30.078125,42.285156,17.578125,33.602585,37.641357,16.962843,32.817871,43.470791,12.371134,33.222313,40.466278,14.737719,51.208286,24.510933,9.5512085,46.039036,30.424799,10.10333,48.620689,27.471264,9.8275862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Christchurch City,New Zealand,554,2018,5,Christchurch,1608.611328125,Metropolitan Area,,,235.29488,75207,113880,81207,33333,60753,38889,41874,53127,42318,23.91601,36.214119,25.824024,21.412191,39.026035,24.981211,26.370678,33.457397,26.650293,378498,314463,,,58170,188466,155673,32793,,25998,190032,158790,31242,,32172,28329,30741,24117,24597,21891,25689,28539,23868,25335,23187,54018,59280,47985,49932,45078,5703,3984,3675,6000,7311,15645,6717,4911,4458,6306,6486,10011,12420,8895,8133,12306,13797,25656,12777,8730,7602,8835,7701,7482,14841,12039,8877,9183,8244,7569,27618,20769,16479,18018,15945,15051,3459,12102,9678,7752,5187,3696,2511,9066,6894,5934,4560,4368,5970,21168,16572,13686,9747,8064,22.200163,49.73724,13.464907,23.710686,52.388012,8.8637085,22.992336,51.127403,11.051871,13.959845,30.58972,42.405128,15.975408,39.162682,29.491558,15.005061,35.035423,35.708504,15.397184,31.850176,40.548016,18.484886,36.80806,28.585646,16.949047,34.34198,34.535793,23.682652,34.872707,30.597986,25.637274,37.33382,24.124893,24.645517,36.085075,27.409277,31.5306,33.212578,22.370295,29.628614,37.659313,20.830479,30.606949,35.372021,21.62252,48.629242,23.256248,11.488251,38.506809,29.113777,16.801292,44.105209,25.874163,13.862816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Clutha District,New Zealand,554,2018,6,Dunedin,6369.41259765625,Medium Sized Areas,,,2.8547373,1626,5529,5988,567,2982,3282,1059,2547,2706,11.011784,37.44413,40.55262,7.3284221,38.542072,42.419544,15.066154,36.235596,38.497654,18183,14766,,,3204,9510,7737,1773,,1557,8673,7029,1644,,1647,1101,1203,1134,1380,1362,918,927,1026,1269,1242,2019,2130,2160,2649,2604,276,189,267,459,543,972,390,315,384,618,630,945,666,504,651,1077,1173,1917,459,387,396,525,456,324,519,555,507,549,507,345,978,942,903,1074,963,669,60,261,288,207,159,84,33,117,114,102,114,87,93,378,402,309,273,171,30.065359,50,6.5359478,35.422344,47.138966,2.9972751,32.986626,48.439823,4.6062407,20.38835,41.747574,28.15534,26.184538,46.134663,9.7256861,23.661972,44.225353,17.746479,26.023392,38.596493,28.070175,33.862434,44.708996,10.05291,30.138889,41.805557,18.611111,36.170212,41.371159,16.312057,44.782608,39.782608,7.3913045,40.656853,40.543602,11.664779,43.719807,36.714977,12.801932,46.255508,37.22467,8.3700438,45.046082,36.981567,10.483871,59.016392,19.672131,5.1001821,60.693642,22.157995,5.5876684,59.831459,20.88015,5.3370786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Dunedin City,New Zealand,554,2018,6,Dunedin,3350.40771484375,Metropolitan Area,,,38.85915,26916,44199,26901,11364,22278,12804,15552,21921,14097,24.434217,40.123642,24.420599,21.800184,42.73711,24.562614,26.800392,37.77594,24.293026,130194,110157,,,21186,62553,52128,10425,,9570,67641,58029,9612,,11616,12456,7812,6714,7743,7833,14640,7710,7245,8592,8226,27096,15522,13959,16335,16059,1716,978,1029,2076,2577,5721,2049,1233,1266,2034,2388,3834,3765,2211,2295,4110,4965,9555,8877,2478,2274,2937,2694,2661,7503,3357,2688,2970,2997,2763,16380,5835,4962,5907,5691,5424,1698,3582,3438,2979,2256,1599,1044,2532,2271,2103,1731,1683,2742,6114,5709,5082,3987,3282,11.721312,60.635246,11.598361,16.449903,60.236031,8.3815031,13.89504,60.451729,10.119575,12.684825,32.140079,46.459145,15.78341,42.972351,32.411674,14.244298,37.591805,39.389256,14.202899,31.387163,47.453415,18.856121,40.035748,33.824844,16.441006,35.546959,40.898346,24.162012,34.182961,34.671787,26.268888,38.357227,27.160015,25.160698,36.161617,31.111111,31.327497,32.749817,27.425238,30.486404,38.261204,22.098812,30.917242,35.438072,24.8272,49.251034,22.908058,13.765496,40.062695,28.871473,17.586206,45.100536,25.601812,15.491363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
