country,ccode,year,lau,launame,urban_area_type,NUTS3CODE,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc,pop_density_km_sq,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_under15,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,population_m_25plus,population_f_25plus,population_25plus,population_m_45to64,population_f_45to64,population_45to64,fuacode,fuaname,area_km_sq
Portugal,620,2011,010103,Águeda,Rural and Towns,PT16D,3996,6007,31084,1439,2933,15192,2557,3074,15892,9.7257042,14.620196,75.654099,7.3553467,14.991821,77.652832,11.880314,14.282395,73.837288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.35797,47729,41087,6642,,9338,22891,19564,3327,,4073,24838,21523,3315,,5265,,2600,3049,3402,3357,3083,2551,3128,3662,3580,3337,5151,6177,7064,6937,6420,,,,,,,,,335.2745056152344
Portugal,620,2011,010202,Albergaria-a-Velha,Medium Sized Areas,PT16D,2033,3008,16318,768,1499,8000,1265,1509,8318,9.5182362,14.083056,76.398705,7.4802766,14.600175,77.919548,11.404616,13.6044,74.990982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.99271,25252,21359,3893,,4554,12230,10267,1963,,1964,13022,11092,1930,,2590,,1360,1758,1948,1748,1489,1327,1803,1970,1845,1557,2687,3561,3918,3593,3046,,,,,,,PT008,Aveiro,158.8248901367188
Portugal,620,2011,010304,Anadia,Rural and Towns,PT16D,2821,3553,19037,1050,1771,9231,1771,1782,9806,11.101492,13.982134,74.916374,8.7122469,14.694656,76.593094,13.25698,13.339322,73.403694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.55818,29150,25411,3739,,6895,13967,12052,1915,,2929,15183,13359,1824,,3966,,1489,1662,1982,2015,1975,1425,1641,2103,2166,2058,2914,3303,4085,4181,4033,,,,,,,,,216.6349029541016
Portugal,620,2011,010402,Arouca,Rural and Towns,PT11A,1393,2132,15371,498,983,7597,895,1149,7774,7.3719306,11.282811,81.345261,5.4857898,10.828377,83.685837,9.1159096,11.702994,79.181099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.938782,22359,18896,3463,,4024,10799,9078,1721,,1684,11560,9818,1742,,2340,,1382,1508,1628,1597,1279,1331,1449,1652,1639,1407,2713,2957,3280,3236,2686,,,,,,,,,329.1051025390625
Portugal,620,2011,010501,Aveiro,Metropolitan Area,PT16D,14401,11161,41457,5881,5504,19972,8520,5657,21485,21.487936,16.653486,61.858578,18.754982,17.5527,63.692318,23.890976,15.862823,60.246201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.06277,78450,67019,11431,,13266,37120,31357,5763,,5624,41330,35662,5668,,7642,,4247,5867,5803,5369,4447,4304,6031,6488,6181,5016,8551,11898,12291,11550,9463,,,,,,,PT008,Aveiro,197.5758056640625
Portugal,620,2011,010602,Castelo de Paiva,Rural and Towns,PT11C,729,1553,11748,262,735,5841,467,818,5907,5.1960087,11.069138,83.734856,3.8315296,10.748757,85.419716,6.4933257,11.373749,82.132927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.49765,16733,14030,2703,,2590,8184,6838,1346,,1050,8549,7192,1357,,1540,,1076,1051,1443,1303,915,1027,1039,1433,1196,957,2103,2090,2876,2499,1872,,,,,,,,,115.0052947998047
Portugal,620,2011,010702,Espinho,Metropolitan Area,PT11A,3958,4044,19741,1569,2049,9368,2389,1995,10373,14.266662,14.57665,71.156685,12.082242,15.778531,72.139229,16.188927,13.519008,70.292068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.5433,31786,27743,4043,,6554,15112,12986,2126,,2748,16674,14757,1917,,3806,,1739,1930,2018,2335,2216,1667,1774,2280,2679,2551,3406,3704,4298,5014,4767,,,,,,,PT002,Porto,21.05669975280762
Portugal,620,2011,010801,Estarreja,Medium Sized Areas,PT16D,2146,3029,17879,776,1490,8710,1370,1539,9169,9.3085794,13.138718,77.552704,7.0699706,13.575073,79.354958,11.342937,12.742176,75.914886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.57176,26997,23054,3943,,5402,13012,10976,2036,,2293,13985,12078,1907,,3109,,1543,1735,1904,1922,1579,1522,1654,2010,2058,1725,3065,3389,3914,3980,3304,,,,,,,,,108.1732940673828
Portugal,620,2011,010901,Santa Maria da Feira,Medium Sized Areas,PT11A,12176,16561,88533,4496,7938,43647,7680,8623,44886,10.382877,14.122111,75.49501,8.0169754,14.154527,77.828499,12.551275,14.092402,73.356323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.33197,139312,117270,22042,,20623,67402,56081,11321,,8790,71910,61189,10721,,11833,,8170,9283,11173,10704,7961,7866,9992,11765,11153,8580,16036,19275,22938,21857,16541,,,,,,,,,215.8764953613281
Portugal,620,2011,011005,Ílhavo,Medium Sized Areas,PT16D,4948,5071,22624,1918,2478,10980,3030,2593,11644,15.157921,15.534724,69.307358,12.473986,16.116026,71.409988,17.547924,15.017085,67.43499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.31726,38598,32643,5955,,6404,18407,15376,3031,,2707,20191,17267,2924,,3697,,2111,2530,2989,2766,2273,2151,2637,3313,2982,2487,4262,5167,6302,5748,4760,,,,,,,PT008,Aveiro,73.47560119628906
