lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
1440,Ale,Sweden,752,1997,SE002,Göteborg,332.1300048828125,Metropolitan Area,SE232,,76.289406,1112,4817,13834,547,2562,6834,565,2255,7000,5.5636163,24.100666,69.214989,5.4357548,25.459604,67.912155,5.6932688,22.722692,70.536072,25338,19987,5351,16879,3108,12893,10063,2830,8658,1405,12445,9924,2521,8221,1703,1653,1834,1640,2107,1424,1492,1699,1640,2081,1309,3145,3533,3280,4188,2733,934,1021,1070,1405,1023,1547,1022,1325,1105,1317,974,1091,1956,2346,2175,2722,1997,2638,525,578,417,456,190,89,581,423,370,591,362,235,1106,1001,787,1047,552,324,8,87,143,206,82,39,1,71,146,185,83,61,9,158,289,391,165,100,62.600536,35.187668,.53619301,61.826981,35.148216,.060496069,62.193958,35.166931,.28616852,60.094173,34.020012,5.1206594,72.246452,23.064341,3.8713195,66.402489,28.332861,4.4721198,65.243904,25.426828,8.719512,67.378052,22.560976,8.9024391,66.310974,23.993902,8.810976,67.515617,21.912542,9.899087,62.505932,28.049358,8.7802563,64.995224,25,9.3361988,78.15126,14.514896,6.2643237,68.39888,25.421349,5.8286519,73.069885,20.197584,6.0373216,90.839691,5.2260718,2.2900763,77.651245,16.725979,4.3416371,84.877731,10.42471,3.2175033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,Alingsås,Sweden,752,1997,SE002,Göteborg,551.1599731445313,Metropolitan Area,SE232,,63.183109,2551,6934,17974,1234,3544,8466,1317,3390,9508,9.2173729,25.054199,64.944359,9.2330713,26.517021,63.344555,9.2027111,23.688072,66.4384,34824,27676,7148,21480,6196,16983,13365,3618,10786,2579,17841,14311,3530,10694,3617,2056,2136,2239,2614,1741,2008,2099,2306,2590,1691,4064,4235,4545,5204,3432,1198,1099,1240,1531,1290,3150,1204,1297,1341,1460,1170,1994,2402,2396,2581,2991,2460,5144,754,792,705,635,224,280,806,662,574,729,374,399,1560,1454,1279,1364,598,679,32,191,342,416,168,168,7,150,309,405,189,174,39,341,651,821,357,342,59.661354,37.549801,1.5936255,58.56031,39.202335,.34046692,59.104332,38.385826,.95964569,52.358265,37.732254,9.0995712,60.720974,30.99251,7.0224719,56.576153,34.332939,8.0519476,53.772766,30.57242,14.830876,59.892811,25.636444,13.800804,56.787678,28.140814,14.323432,59.111969,24.517374,16.061775,55.8531,27.888294,15.493497,57.475018,26.210608,15.776326,76.286224,13.246599,9.9349499,67.202759,21.481907,10.85583,71.678322,17.424242,10.402098,87.088745,7.7412219,4.6447334,77.316788,15.471113,6.7468009,83.021301,10.958683,5.51969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0764,Alvesta,Sweden,752,1997,,,1074.219970703125,Rural and Towns,SE212,,18.047514,754,3171,11395,365,1622,5728,389,1549,5667,4.8670282,20.46863,73.554092,4.6788874,20.792206,73.426483,5.0578599,20.140425,73.683525,19387,15492,3895,11765,3727,9795,7801,1994,6114,1687,9592,7691,1901,5651,2040,1251,1091,1302,1499,971,1102,1049,1278,1288,934,2353,2140,2580,2787,1905,709,634,833,864,779,1848,776,797,947,993,742,1473,1485,1431,1780,1857,1521,3321,369,346,336,298,95,105,441,254,268,348,161,150,810,600,604,646,256,255,6,48,99,118,51,67,5,26,71,145,61,57,11,74,170,263,112,124,64.33757,33.484573,.54446459,62.030376,35.251797,.39968026,63.110924,34.424141,.46748832,60.438515,32.983795,4.5757866,73.052246,23.281393,2.3831348,66.869156,28.037384,3.4579439,65.17997,26.29108,7.746479,72.734253,20.583717,5.4531488,68.992249,23.410852,6.5891471,67.080742,23.136646,9.1614904,66.244164,23.215477,9.6731157,66.630783,23.179045,9.4366703,83.404709,10.171307,5.4603853,76.416069,16.580845,6.2821832,79.842522,13.43832,5.8792653,90.588234,5.147059,3.2843137,87.314758,8.8915234,3.3787789,89.106522,6.8419642,3.3270726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0604,Aneby,Sweden,752,1997,,,553.8900146484375,Rural and Towns,SE211,,12.553034,281,1038,4010,128,526,2000,153,512,2010,5.2181988,19.275766,74.46611,4.7707791,19.604919,74.543419,5.6624722,18.948927,74.389343,6953,5385,1568,4112,1273,3503,2683,820,2108,575,3450,2702,748,2004,698,407,391,470,508,332,405,364,470,428,337,812,755,940,936,669,245,218,311,332,281,623,270,275,350,362,258,485,515,493,661,694,539,1108,147,122,122,57,27,37,122,93,92,105,54,60,269,215,214,162,81,97,2,23,37,37,23,31,0,21,26,38,17,26,2,44,63,75,40,57,60.493828,36.296295,.49382716,66.339066,29.97543,0,63.423645,33.128078,.24630542,59.89011,33.516483,6.3186812,70.332481,23.785166,5.3708439,65.298012,28.476822,5.8278146,66.170212,25.957447,7.8723402,74.468086,19.574469,5.5319147,70.319145,22.765957,6.7021275,77.570091,13.317757,8.6448603,71.259842,20.669291,7.4803147,74.145302,17.307692,8.0128202,83.38279,8.0118694,6.8249259,77.710846,16.26506,5.120482,80.568008,12.107623,5.979073,89.255013,5.3008595,4.4412608,84.347824,10.434783,4.521739,87.03849,7.6197958,4.477612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Arboga,Sweden,752,1997,,,419.3800048828125,Medium Sized Areas,SE125,,33.63298,620,2826,7963,282,1709,3675,338,1117,4288,5.394588,24.588881,69.285652,4.9430323,29.956179,64.417175,5.8396683,19.29855,74.084312,14105,11493,2612,8761,2732,7030,5705,1325,4554,1151,7075,5788,1287,4207,1581,798,965,894,1075,822,705,873,765,1066,798,1503,1838,1659,2141,1620,409,547,516,726,651,1439,458,670,616,582,495,854,867,1217,1132,1308,1146,2293,278,269,184,225,90,71,322,270,230,383,275,229,600,539,414,608,365,300,6,49,63,113,47,60,3,24,43,106,48,58,9,73,106,219,95,118,58.014183,39.432625,.85106385,57.393482,40.350876,.37593985,57.684631,39.920158,.59880239,62.657501,30.813288,5.6128292,69.430054,27.979275,2.4870467,66.213272,29.325354,3.9717083,67.450981,24.052288,8.2352943,68.903801,25.72707,4.8098435,68.233879,24.954792,6.3893914,68.105064,21.106941,10.600375,54.139534,35.627907,9.860465,61.092949,28.397945,10.228865,81.578949,11.278195,5.8897243,60.218979,33.454987,5.839416,70.740738,22.530865,5.8641977,91.018341,4.4908285,3.7950664,74.19635,19.895742,5.0390964,83.931183,10.980967,4.31918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,Arjeplog,Sweden,752,1997,,,14494.16015625,Rural and Towns,SE332,,.24665107,112,472,1510,46,233,818,66,239,692,,,,,,,,,,3575,,624,2104,847,,,,,,,,,,,,,,,,,,,,,335,413,462,465,429,85,130,148,151,178,,122,151,194,173,178,,207,281,342,324,356,,64,65,46,47,17,,57,44,49,52,31,,121,109,95,99,48,,5,10,14,24,13,,0,10,9,16,11,,5,20,23,40,24,,,,,,,,61.791046,36.119404,1.4925373,,,,,,,68.038742,26.392252,4.8426151,,,,,,,74.02597,20.562771,4.9783549,,,,,,,69.677422,21.290323,8.6021509,,,,,,,82.983681,11.188811,5.5944057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,Arvidsjaur,Sweden,752,1997,,,6126.2998046875,Rural and Towns,SE332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Arvika,Sweden,752,1997,,,1956.130004882813,Rural and Towns,SE311,,13.62026,1436,4645,15643,699,2441,7427,737,2204,8216,6.5427375,21.16366,71.27301,6.5375981,22.830153,69.46315,6.5476189,19.580667,72.99218,26643,21948,4695,16063,5885,13128,10692,2436,8224,2468,13515,11256,2259,7839,3417,1507,1700,1659,1974,1384,1379,1563,1655,1806,1436,2886,3263,3314,3780,2820,798,915,1032,1276,1163,3032,793,1140,1156,1317,1050,1971,1591,2055,2188,2593,2213,5003,541,519,449,321,150,224,676,476,365,398,219,307,1217,995,814,719,369,531,14,120,157,197,111,138,2,69,118,243,99,168,16,189,275,440,210,306,57.868019,39.231327,1.0152284,52.621101,44.857334,.132714,55.128204,42.16909,.55440056,58.541267,33.205376,7.6775432,67.058823,28,4.0588236,62.978855,30.49341,5.7922158,62.356495,27.12991,9.4864044,69.680527,22.001205,7.1127186,66.022934,24.562462,8.2981291,70.653381,17.774086,10.908084,66.717323,20.162107,12.31003,68.597885,19.021164,11.640212,80.988861,10.445683,7.729805,75.86705,15.823699,7.1531792,78.475174,13.085107,7.4468083,88.732803,6.5554581,4.0386305,79.862236,12.439222,6.8071313,85.012741,9.0229397,5.1996603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,Askersund,Sweden,752,1997,,,1019.739990234375,Rural and Towns,SE124,,11.680429,522,1784,7317,251,932,3634,271,852,3683,5.3792253,18.384171,75.401894,5.152946,19.133648,74.604805,5.6072831,17.628801,76.205254,11911,9704,2207,7301,2403,5982,4871,1111,3802,1069,5929,4833,1096,3499,1334,726,712,748,947,669,604,636,733,860,666,1330,1348,1481,1807,1335,389,430,528,603,521,1212,464,578,579,649,498,866,853,1008,1107,1252,1019,2078,198,168,163,156,91,76,242,105,117,213,116,139,440,273,280,369,207,215,5,36,38,100,50,42,5,23,49,76,47,51,10,59,87,176,97,93,64.403976,32.781456,.82781458,63.911846,33.333332,.68870521,64.135338,33.082706,.75187969,67.610062,26.415094,5.6603775,81.179779,14.747191,3.2303371,74.777451,20.252226,4.3768544,72.032745,22.237381,5.1841745,77.406418,15.641711,6.5508022,74.746796,18.906145,5.8744092,70.11628,18.139534,11.627907,68.532204,22.492081,8.0253429,69.28611,20.420588,9.7399006,78.228226,13.663664,7.5075073,74.439461,17.339312,7.0254111,76.32959,15.505618,7.2659178,90.854576,5.6971517,3.1484258,81.010292,13.002807,4.7708139,86.475243,8.9471493,3.8701622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2084,Avesta,Sweden,752,1997,,,668.989990234375,Medium Sized Areas,SE312,,34.779293,957,3985,14091,436,2201,6724,521,1784,7367,4.9911337,20.783352,73.490143,4.6230516,23.337929,71.296783,5.3474288,18.310581,75.613258,23267,19174,4093,14239,4935,11547,9431,2116,7335,2096,11720,9743,1977,6904,2839,1293,1429,1562,1771,1280,1216,1334,1440,1627,1287,2509,2763,3002,3398,2567,716,821,956,1186,1083,2605,741,1089,1097,1160,948,1689,1457,1910,2053,2346,2031,4294,468,429,357,301,120,109,518,277,365,473,253,315,986,706,722,774,373,424,14,65,118,138,78,108,4,55,89,131,76,81,18,120,207,269,154,189,58.88158,38.486843,1.1513158,57.308586,40.061871,.30935809,58.070946,39.298527,.7174173,61.544228,32.15892,4.8725638,76.207138,19.384184,3.8488452,69.127762,25.551937,4.3431053,66.388885,24.791666,8.1944447,70.230476,23.367477,5.6978235,68.387741,24.050632,6.8954029,72.894897,18.500307,8.4818687,65.499718,26.708075,7.3969507,69.040611,22.778105,7.9164214,84.149185,9.3240089,6.060606,74.0625,19.765625,5.9375,79.119598,14.530581,5.9992208,91.75766,3.83938,3.8041563,80.582062,15.028625,3.8645039,87.011147,8.591692,3.8297873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
