lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
4551,Aadorf,Switzerland,756,2000,,,19.94000053405762,Medium Sized Areas,CH057,,366.14844,287,3327,1242,215,1808,418,71,1520,824,4.9253473,57.096275,21.314569,7.320395,61.559414,14.23221,2.4567473,52.595154,28.512112,7301,5827,1474,5014,813,3725,2937,788,2569,368,3576,2890,686,2445,445,479,492,646,572,380,454,513,569,537,372,933,1005,1215,1109,752,44,88,120,161,170,241,32,53,76,98,66,93,76,141,196,259,236,334,139,361,383,333,173,131,112,356,475,394,259,212,251,717,857,727,432,343,1,26,20,15,7,2,1,31,62,63,32,26,2,57,83,78,39,28,9.6916304,30.616739,.22026432,6.6805844,23.382046,.20876826,8.1457663,26.902466,.21436228,17.153996,70.370369,5.0682263,10.772358,72.357727,6.3008132,14.029851,71.343285,5.6716418,21.08963,67.311073,3.5149386,11.764706,73.529411,9.5975237,16.131687,70.534981,6.8312759,29.981379,62.011173,2.7932961,17.132868,68.881119,11.013986,23.354374,65.55455,7.0333633,45.698925,46.505375,1.8817204,17.368422,68.157898,8.4210529,31.382978,57.446808,5.1861701,54.157303,29.438202,.44943821,25.27174,57.608696,7.0652175,41.082413,42.189423,3.4440343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4001,Aarau,Switzerland,756,2000,,,12.34000015258789,Medium Sized Areas,CH033,,1468.5575,1376,8093,3251,890,3965,1160,486,4128,2091,9.0347996,53.138542,21.346027,12.374861,55.130699,16.129032,6.0462804,51.35606,26.013933,18122,15230,2892,12094,3136,9246,7192,2054,5969,1223,8876,8038,838,6125,1913,973,1391,1388,1273,944,1019,1370,1452,1303,981,1992,2761,2840,2576,1925,105,224,312,369,310,771,116,183,251,251,161,198,221,407,563,620,471,969,320,787,864,759,561,838,256,795,781,770,621,742,576,1581,1645,1529,1183,1580,6,138,152,95,45,50,4,170,255,183,123,155,10,308,407,278,167,205,10.30422,31.403337,.58881259,11.921891,26.310381,.4110997,11.094378,28.915663,.50200802,16.350365,57.445255,10.072992,13.156003,57.153126,12.221423,14.741035,57.26186,11.155378,21.487604,59.504131,10.46832,18.083574,56.268013,18.371758,19.823944,57.922535,14.330986,28.319263,58.250191,7.2908673,19.717203,60.487038,14.375491,24.068323,59.355591,10.791925,31.600409,57.186543,4.5871558,17.055084,65.783897,13.029661,24.467533,61.454544,8.6753244,40.303188,43.805542,2.6136959,16.189697,60.670483,12.673753,30.899235,50.382652,6.5369897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Aarberg,Switzerland,756,2000,,,7.929999828338623,Medium Sized Areas,CH021,,479.44516,180,1803,621,127,915,197,54,887,424,5.8045793,58.142536,20.025799,8.5292139,61.450638,13.230356,3.3498759,55.024815,26.302729,3802,3101,701,2587,514,1940,1489,451,1275,214,1862,1612,250,1312,300,231,284,306,253,201,255,314,288,255,200,486,598,594,508,401,22,49,66,85,67,135,11,29,41,43,29,44,33,78,107,128,96,179,89,223,193,150,122,111,67,193,212,169,148,127,156,416,404,319,270,238,1,14,16,12,5,5,0,25,36,29,16,20,1,39,53,41,21,25,8.6274509,34.901962,.39215687,4.7619047,29.00433,0,6.7901235,32.098766,.20576131,15.605096,71.019112,4.4585986,10.211267,67.957748,8.8028173,13.043478,69.565216,6.521739,22.916666,67.013885,5.5555553,13.398693,69.281044,11.764706,18.013468,68.013466,8.9225588,33.333332,58.823528,4.7058825,16.996048,66.798416,11.462451,25.19685,62.795277,8.0708666,33.5,61,2.5,14.42786,73.631844,7.9601989,23.940149,67.331673,5.236908,45,37,1.6666666,20.560747,59.345795,9.3457947,34.824902,46.303501,4.8638134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4271,Aarburg,Switzerland,756,2000,,,4.409999847412109,Medium Sized Areas,CH033,,1420.1814,228,2345,1586,165,1255,608,63,1090,978,4.4899569,46.1796,31.232769,6.6693616,50.727566,24.575586,2.4193549,41.858681,37.557602,6263,5078,1185,4214,864,3195,2474,721,2116,358,3068,2604,464,2098,506,365,480,537,416,318,367,524,521,380,306,732,1004,1058,796,624,67,151,185,178,143,254,65,113,130,118,92,90,132,264,315,296,235,344,75,278,268,155,139,175,87,262,303,224,172,207,161,540,571,379,311,382,1,28,17,7,6,5,1,25,53,30,28,28,3,52,70,37,34,33,18.25613,20.435966,.27247956,17.80822,23.835617,.2739726,18.032787,21.994535,.40983605,28.816793,53.053436,5.3435116,23.541666,54.583332,5.2083335,26.294821,53.784859,5.1792827,35.508636,51.439541,3.2629559,24.208567,56.42458,9.8696461,29.773157,53.969753,6.6162572,46.842106,40.789474,1.8421053,28.365385,53.846153,7.2115383,37.185928,47.613064,4.648241,46.732025,45.424835,1.9607843,28.930819,54.088051,8.8050318,37.660255,49.839745,5.4487181,50.197628,34.58498,.98814231,25.139666,57.821228,7.821229,39.814816,44.212963,3.8194444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Aarwangen,Switzerland,756,2000,,,9.899999618530273,Medium Sized Areas,CH021,,404.14142,159,1797,667,118,945,231,41,852,436,5.0977879,57.61462,21.385059,7.64744,61.244328,14.970836,2.6015229,54.060913,27.664974,4001,3119,882,2657,462,2041,1543,498,1342,201,1960,1576,384,1315,261,247,247,347,307,194,241,249,346,277,202,488,496,693,584,396,32,28,78,77,80,141,27,25,42,48,34,55,59,53,120,125,114,196,66,180,237,174,106,89,69,171,248,211,132,115,135,351,485,385,237,204,1,13,10,12,4,1,1,22,35,34,14,11,2,35,45,46,19,12,13.278008,27.385893,.41493776,10.931174,27.935223,.40485829,12.090164,27.663935,.40983605,11.24498,72.289154,5.2208834,10.121457,69.230766,8.9068823,10.685484,70.766129,7.0564518,22.543352,68.497108,2.8901734,12.103746,71.469742,10.086455,17.316017,69.985573,6.4935064,27.797834,62.815884,4.33213,15.63518,68.729645,11.074919,21.40411,65.92466,7.8767123,39.603962,52.475246,1.980198,17.525774,68.041237,7.216495,28.787878,59.848484,4.7979798,54.022987,34.099617,.38314176,27.363184,57.213932,5.4726367,42.424244,44.155846,2.5974026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4221,Abtwil,Switzerland,756,2000,,,4.139999866485596,Rural and Towns,CH033,,162.80194,27,318,86,18,166,30,9,152,56,5.2631578,61.988304,16.764133,6.9767442,64.341087,11.627907,3.5294118,59.607841,21.960785,674,513,161,448,65,344,258,86,227,31,330,255,75,221,34,37,53,77,42,18,42,65,68,31,15,79,118,145,73,33,3,2,15,7,5,24,2,1,8,4,2,13,5,3,23,11,7,37,15,57,46,21,7,7,10,41,58,34,13,10,25,97,104,54,20,17,0,4,4,0,1,0,0,3,10,3,2,0,0,7,14,4,3,0,7.1428571,35.714287,0,5.4054055,27.027027,0,6.329114,31.645569,0,3.0769231,87.692307,6.1538463,1.8867924,77.35849,5.6603775,2.5423729,82.203392,5.9322033,22.058823,67.647057,5.8823528,10.38961,75.324677,12.987013,15.862069,71.724136,9.6551723,22.580645,67.741936,0,9.5238094,80.952377,7.1428571,15.068493,73.972603,5.4794521,33.333332,46.666668,6.6666665,11.111111,72.222221,11.111111,21.212122,60.60606,9.090909,70.588234,20.588236,0,41.935482,32.258064,0,56.923077,26.153847,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5621,Aclens,Switzerland,756,2000,CH005,Lausanne,3.900000095367432,Outskirts of Major City,CH011,,93.07692,26,150,61,15,70,27,11,80,34,9.2526693,53.380783,21.708185,11.029411,51.470589,19.852942,7.5862069,55.172413,23.448277,363,281,82,236,45,185,136,49,112,24,178,145,33,124,21,15,23,33,25,16,20,29,34,20,21,35,52,67,45,37,2,4,4,6,8,10,1,2,6,4,4,10,3,6,10,10,12,20,6,19,23,13,11,8,5,10,21,17,8,8,11,29,44,30,19,16,0,5,3,1,2,0,0,3,4,4,2,3,0,8,7,5,4,3,10,30,0,6.6666665,33.333332,0,8.5714283,31.428572,0,13.793103,65.517242,17.241379,8.695652,43.47826,13.043478,11.538462,55.76923,15.384615,11.764706,67.647057,8.8235292,18.181818,63.636364,12.121212,14.925373,65.671638,10.447762,30,65,5,16,68,16,22.222221,66.666664,11.111111,38.095238,52.380951,9.5238094,25,50,12.5,32.432434,51.351353,10.810811,47.619049,38.095238,0,41.666668,33.333332,12.5,44.444443,35.555557,6.6666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048,Acquarossa,Switzerland,756,2000,,,61.77999877929688,Rural and Towns,CH070,,28.779541,69,642,502,40,381,166,29,261,336,4.6527309,43.290627,33.850304,5.6179776,53.511234,23.314608,3.761349,33.852139,43.579765,1778,1483,295,1068,415,907,712,195,540,172,871,771,100,528,243,81,130,121,105,103,87,114,118,101,108,168,244,239,206,211,10,22,35,46,64,159,6,18,22,28,30,62,16,40,57,74,94,221,24,65,64,41,30,38,23,92,73,63,59,71,47,157,137,103,90,109,0,11,6,6,4,1,1,10,9,8,4,8,1,21,15,15,7,9,11.494253,27.586206,0,7.4074073,28.395061,1.2345679,9.5238094,27.976191,.59523809,19.298246,57.017544,9.6491232,13.846154,70.769234,7.6923075,16.393442,64.344261,8.6065578,29.661016,54.237289,5.0847459,18.181818,60.330578,7.4380164,23.849373,57.322174,6.2761507,45.544556,40.594059,5.9405942,26.666666,60,7.6190476,35.922329,50,7.2815533,59.259258,27.777779,3.7037036,29.126213,57.281555,3.8834951,44.549763,42.65403,3.3175356,65.432098,15.63786,.41152263,36.046513,41.279068,4.6511626,53.253014,26.26506,2.1686747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Adelboden,Switzerland,756,2000,,,87.61000061035156,Rural and Towns,CH021,,41.479282,91,1527,695,66,806,263,26,720,432,3.189625,53.522606,24.360323,4.7075605,57.4893,18.758915,1.7918677,49.620953,29.772572,3634,2853,781,2288,565,1854,1402,452,1160,242,1780,1451,329,1128,323,212,287,255,203,203,230,264,242,205,187,442,551,497,408,390,13,37,72,69,71,170,12,31,47,42,49,82,25,68,119,111,120,252,86,194,149,124,85,83,78,205,176,128,124,96,164,399,325,251,209,179,0,4,8,6,2,5,0,18,16,17,7,7,0,22,24,24,9,12,5.652174,37.391304,0,5.6603775,36.792454,0,5.6561084,37.104073,0,14.015152,73.484848,1.5151515,10.801394,71.428574,6.2717772,12.341198,72.413795,3.9927404,29.752066,61.570248,3.3057852,18.431372,69.019608,6.2745099,23.943663,65.392357,4.8289738,33.658535,60.487804,2.9268293,20.689655,63.054188,8.3743839,27.205883,61.519608,5.8823528,37.967915,45.454544,1.0695187,24.137932,61.083744,3.4482758,30.76923,53.589745,2.3076923,52.63158,25.696594,1.5479876,33.884296,39.669422,2.8925619,44.601768,31.681416,2.1238937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Adligenswil,Switzerland,756,2000,CH008,Luzern,6.989999771118164,Medium Sized Areas,CH061,,716.73822,339,2410,434,246,1190,131,93,1220,303,8.5111723,60.507156,10.896309,12.462006,60.283688,6.6362715,4.6291685,60.72673,15.08213,5010,3983,1027,3645,338,2556,1974,582,1808,166,2454,2009,445,1837,172,411,271,426,424,276,383,285,450,459,260,794,556,876,883,536,21,32,49,66,61,74,6,21,28,25,22,29,27,53,77,91,83,103,87,200,346,342,173,72,96,173,309,308,199,105,183,373,655,650,371,177,1,18,29,29,12,4,1,21,73,80,50,21,2,39,102,109,63,25,5.4830289,22.715405,.2610966,1.459854,23.357664,.24330901,3.4005039,23.047859,.25188917,11.22807,70.175438,6.3157897,7.7490773,63.837639,7.7490773,9.5323744,67.086334,7.0143886,10.888889,76.888885,6.4444447,6.5727701,72.53521,17.13615,8.7899542,74.77169,11.643836,14.379085,74.509804,6.3180828,5.8962264,72.64151,18.867924,10.305776,73.612686,12.344281,23.461538,66.53846,4.6153846,7.9710145,72.101448,18.115942,15.485075,69.216415,11.753732,43.023254,41.860466,2.3255813,17.469879,63.253014,12.650602,30.473373,52.366863,7.3964496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
