lau,launame,country,ccode,year,fuacode,fuaname,area_km_sq,urban_area_type,NUTS3CODE,macroregion,pop_density_km_sq,ed_isced_6to8,ed_isced_3to5,ed_isced_0to2,ed_isced_6to8_m,ed_isced_3to5_m,ed_isced_0to2_m,ed_isced_6to8_f,ed_isced_3to5_f,ed_isced_0to2_f,ed_isced_6to8_pc,ed_isced_3to5_pc,ed_isced_0to2_pc,ed_isced_6to8_m_pc,ed_isced_3to5_m_pc,ed_isced_0to2_m_pc,ed_isced_6to8_f_pc,ed_isced_3to5_f_pc,ed_isced_0to2_f_pc,population,population_15plus,population_0to14,population_15to64,population_65plus,population_m,population_m_15plus,population_m_0to14,population_m_15to64,population_m_65plus,population_f,population_f_15plus,population_f_0to14,population_f_15to64,population_f_65plus,population_m_15to24,population_m_25to34,population_m_35to44,population_m_45to54,population_m_55to64,population_f_15to24,population_f_25to34,population_f_35to44,population_f_45to54,population_f_55to64,population_15to24,population_25to34,population_35to44,population_45to54,population_55to64,ed_isced_0to2_f_15to24,ed_isced_0to2_f_25to34,ed_isced_0to2_f_35to44,ed_isced_0to2_f_45to54,ed_isced_0to2_f_55to64,ed_isced_0to2_f_65plus,ed_isced_0to2_m_15to24,ed_isced_0to2_m_25to34,ed_isced_0to2_m_35to44,ed_isced_0to2_m_45to54,ed_isced_0to2_m_55to64,ed_isced_0to2_m_65plus,ed_isced_0to2_15to24,ed_isced_0to2_25to34,ed_isced_0to2_35to44,ed_isced_0to2_45to54,ed_isced_0to2_55to64,ed_isced_0to2_65plus,ed_isced_3to5_f_15to24,ed_isced_3to5_f_25to34,ed_isced_3to5_f_35to44,ed_isced_3to5_f_45to54,ed_isced_3to5_f_55to64,ed_isced_3to5_f_65plus,ed_isced_3to5_m_15to24,ed_isced_3to5_m_25to34,ed_isced_3to5_m_35to44,ed_isced_3to5_m_45to54,ed_isced_3to5_m_55to64,ed_isced_3to5_m_65plus,ed_isced_3to5_15to24,ed_isced_3to5_25to34,ed_isced_3to5_35to44,ed_isced_3to5_45to54,ed_isced_3to5_55to64,ed_isced_3to5_65plus,ed_isced_6to8_f_15to24,ed_isced_6to8_f_25to34,ed_isced_6to8_f_35to44,ed_isced_6to8_f_45to54,ed_isced_6to8_f_55to64,ed_isced_6to8_f_65plus,ed_isced_6to8_m_15to24,ed_isced_6to8_m_25to34,ed_isced_6to8_m_35to44,ed_isced_6to8_m_45to54,ed_isced_6to8_m_55to64,ed_isced_6to8_m_65plus,ed_isced_6to8_15to24,ed_isced_6to8_25to34,ed_isced_6to8_35to44,ed_isced_6to8_45to54,ed_isced_6to8_55to64,ed_isced_6to8_65plus,ed_isced_0to2_f_15to24_pc,ed_isced_3to5_f_15to24_pc,ed_isced_6to8_f_15to24_pc,ed_isced_0to2_m_15to24_pc,ed_isced_3to5_m_15to24_pc,ed_isced_6to8_m_15to24_pc,ed_isced_0to2_15to24_pc,ed_isced_3to5_15to24_pc,ed_isced_6to8_15to24_pc,ed_isced_0to2_f_25to34_pc,ed_isced_3to5_f_25to34_pc,ed_isced_6to8_f_25to34_pc,ed_isced_0to2_m_25to34_pc,ed_isced_3to5_m_25to34_pc,ed_isced_6to8_m_25to34_pc,ed_isced_0to2_25to34_pc,ed_isced_3to5_25to34_pc,ed_isced_6to8_25to34_pc,ed_isced_0to2_f_35to44_pc,ed_isced_3to5_f_35to44_pc,ed_isced_6to8_f_35to44_pc,ed_isced_0to2_m_35to44_pc,ed_isced_3to5_m_35to44_pc,ed_isced_6to8_m_35to44_pc,ed_isced_0to2_35to44_pc,ed_isced_3to5_35to44_pc,ed_isced_6to8_35to44_pc,ed_isced_0to2_f_45to54_pc,ed_isced_3to5_f_45to54_pc,ed_isced_6to8_f_45to54_pc,ed_isced_0to2_m_45to54_pc,ed_isced_3to5_m_45to54_pc,ed_isced_6to8_m_45to54_pc,ed_isced_0to2_45to54_pc,ed_isced_3to5_45to54_pc,ed_isced_6to8_45to54_pc,ed_isced_0to2_f_55to64_pc,ed_isced_3to5_f_55to64_pc,ed_isced_6to8_f_55to64_pc,ed_isced_0to2_m_55to64_pc,ed_isced_3to5_m_55to64_pc,ed_isced_6to8_m_55to64_pc,ed_isced_0to2_55to64_pc,ed_isced_3to5_55to64_pc,ed_isced_6to8_55to64_pc,ed_isced_0to2_f_65plus_pc,ed_isced_3to5_f_65plus_pc,ed_isced_6to8_f_65plus_pc,ed_isced_0to2_m_65plus_pc,ed_isced_3to5_m_65plus_pc,ed_isced_6to8_m_65plus_pc,ed_isced_0to2_65plus_pc,ed_isced_3to5_65plus_pc,ed_isced_6to8_65plus_pc,ed_isced_0to2_m_25plus,ed_isced_0to2_f_25plus,population_m_25plus,population_f_25plus,ed_isced_6to8_m_25plus,ed_isced_3to5_m_25plus,ed_isced_6to8_f_25plus,ed_isced_3to5_f_25plus,ed_isced_0to2_25plus,ed_isced_3to5_25plus,ed_isced_6to8_25plus,population_25plus,ed_isced_0to2_f_25plus_pc,ed_isced_3to5_f_25plus_pc,ed_isced_6to8_f_25plus_pc,ed_isced_0to2_m_25plus_pc,ed_isced_3to5_m_25plus_pc,ed_isced_6to8_m_25plus_pc,ed_isced_0to2_25plus_pc,ed_isced_3to5_25plus_pc,ed_isced_6to8_25plus_pc,former_GDR,population_0to14_m,population_0to14_f,population_15to64_m,population_15to64_f,ed_isced_6to8_m_45to64,ed_isced_3to5_m_45to64,ed_isced_0to2_m_45to64,ed_isced_6to8_f_45to64,ed_isced_3to5_f_45to64,ed_isced_0to2_f_45to64,population_m_45to64,population_f_45to64,ed_isced_0to2_45to64,ed_isced_3to5_45to64,ed_isced_6to8_45to64,population_45to64,ed_isced_0to2_m_45to64_pc,ed_isced_0to2_f_45to64_pc,ed_isced_3to5_m_45to64_pc,ed_isced_3to5_f_45to64_pc,ed_isced_6to8_m_45to64_pc,ed_isced_6to8_f_45to64_pc,ed_isced_0to2_45to64_pc,ed_isced_3to5_45to64_pc,ed_isced_6to8_45to64_pc
45_1,"Abbeville County, South Carolina",USA,840,2007,,,1272.789794921875,Rural and Towns,,South Carolina,19.914522,2837,12350,5411,1195,5577,2951,1642,6773,2460,13.773182,59.957279,26.269541,12.290445,57.358841,30.350716,15.09885,62.28046,22.620689,25347,20598,4749,16813,3785,12198,9723,2475,8169,1554,13149,10875,2274,8644,2231,1790,1363,1565,,,1783,1458,1716,,,3573,2821,3281,,,735,140,99,,,898,745,314,247,,,685,1480,454,346,,,1583,996,955,1232,,,1070,1022,726,1141,,,670,2018,1681,2373,,,1740,52,363,385,,,263,23,323,177,,,199,75,686,562,,,462,41.22266,55.860909,2.9164331,41.620113,57.094971,1.2849162,41.421776,56.479149,2.0990765,9.6021948,65.500687,24.89712,23.037418,53.264858,23.697725,16.093584,59.588799,24.317617,5.7692308,71.794868,22.435898,15.782747,72.907349,11.309904,10.545566,72.325508,17.128923,,,,,,,,,,,,,,,,,,,40.251007,47.960556,11.788436,44.079796,43.114544,12.805663,41.822987,45.97094,12.206077,2206,1725,7933,9092,1172,4555,1590,5777,3931,10332,2762,17025,18.972723,63.539375,17.487902,27.807892,57.418381,14.77373,23.089575,60.687225,16.223202,,,,,,473,2018,960,579,2520,588,3451,3687,1548,4538,1052,7138,27.818024,15.947926,58.475803,68.348251,13.706172,15.703824,21.686747,63.57523,14.738022
22_1,"Acadia Parish, Louisiana",USA,840,2007,,,1696.880737304688,Medium Sized Areas,,Louisiana,35.132698,4197,25130,16616,1667,11995,8305,2530,13135,8311,9.1352329,54.698212,36.166553,7.5886559,54.604633,37.806709,10.552218,54.783951,34.66383,59616,45943,13673,38539,7404,28963,21967,6996,18903,3064,30653,23976,6677,19636,4340,4409,3718,3635,,,4447,3716,3990,,,8856,7434,7625,,,2201,1000,714,,,2269,2660,983,973,,,1589,4861,1983,1687,,,3858,2112,2163,2672,,,1822,1686,2433,2317,,,1235,3798,4596,4989,,,3057,134,553,604,,,249,63,302,345,,,240,197,855,949,,,489,49.494041,47.492691,3.0132673,60.331142,38.239964,1.4288955,54.889339,42.886177,2.2244806,26.910656,58.207748,14.881593,26.438946,65.438408,8.1226463,26.674738,61.824051,11.50121,17.894737,66.967415,15.137845,26.767538,63.741402,9.4910593,22.12459,65.429504,12.445902,,,,,,,,,,,,,,,,,,,52.281105,41.981567,5.7373271,51.860313,40.306789,7.8328981,52.106968,41.288494,6.604538,5645,6110,17558,19529,1604,10309,2396,11023,11755,21332,4000,37087,31.286804,56.444263,12.268933,32.150585,58.713978,9.135437,31.695742,57.518806,10.78545,,,,,,717,4324,2100,990,4366,2127,7141,7483,4227,8690,1707,14624,29.407646,28.424429,60.551743,58.345585,10.04061,13.229988,28.904541,59.422867,11.672593
51_1,"Accomack County, Virginia",USA,840,2007,,,1163.706176757813,Rural and Towns,,Virginia,33.102859,4953,17734,8704,2347,8156,4626,2606,9578,4078,15.778408,56.4939,27.727694,15.513252,53.90971,30.577038,16.025089,58.898045,25.076866,38522,31391,7131,24974,6417,18876,15129,3747,12342,2787,19646,16262,3384,12632,3630,2258,2489,2205,,,2389,2079,2267,,,4647,4568,4472,,,1111,361,188,,,1387,1258,927,626,,,836,2369,1288,814,,,2223,1159,1390,1624,,,1759,916,1236,1181,,,1346,2075,2626,2805,,,3105,119,328,455,,,484,84,326,398,,,605,203,654,853,,,1089,46.504814,48.514023,4.9811635,55.71302,40.566872,3.7201064,50.979126,44.652466,4.3684096,17.364117,66.85907,15.776815,37.243874,49.658497,13.09763,28.196148,57.486866,14.316988,8.2928982,71.63652,20.070578,28.390022,53.560089,18.049887,18.202147,62.723614,19.07424,,,,,,,,,,,,,,,,,,,38.209366,48.457302,13.333333,29.996412,48.295658,21.70793,34.642357,48.387096,16.970547,3368,2967,12871,13873,2263,7240,2487,8419,6335,15659,4750,26744,21.386868,60.686226,17.926908,26.167353,56.250484,17.582161,23.687555,58.551453,17.760994,,,,,,934,3477,979,1220,3646,1031,5390,5897,2010,7123,2154,11287,18.163265,17.483467,64.508347,61.828049,17.328386,20.688486,17.808098,63.108002,19.083902
16_1,"Ada County, Idaho",USA,840,2007,USA72,Ada,2724.688232421875,Metropolitan Area,,Idaho,135.35164,84874,164604,38288,44994,78834,20422,39880,85770,17866,29.494102,57.200642,13.305255,31.191681,54.650951,14.157366,27.787842,59.763371,12.448786,368791,287766,81025,251918,35848,185742,144250,41492,128575,15675,183049,143516,39533,123343,20173,25316,30763,28434,,,23484,29661,26129,,,48800,60424,54563,,,9263,2001,1197,,,3107,11009,2561,1862,,,2143,20272,4562,3059,,,5250,12289,17130,14728,,,13722,13141,18596,15367,,,8655,25430,35726,30095,,,22377,1932,10530,10204,,,3344,1166,9606,11205,,,4877,3098,20136,21409,,,8221,39.443878,52.329247,8.2268782,43.486332,51.907883,4.605783,41.540985,52.110657,6.3483605,6.7462325,57.752605,35.501163,8.3249359,60.449242,31.225822,7.5499802,59.125511,33.324509,4.5811167,56.366489,39.052395,6.5484982,54.044453,39.407047,5.6063633,55.156425,39.237213,,,,,,,,,,,,,,,,,,,15.401774,68.021614,16.576612,13.671452,55.215309,31.113237,14.645168,62.421894,22.93294,9413,8603,118934,120032,43828,65693,37948,73481,18016,139174,81776,238966,7.1672554,61.217842,31.614902,7.9144735,55.234837,36.850689,7.5391479,58.240086,34.220768,,,,,,18140,23075,2847,13870,27901,2298,44062,44069,5145,50976,32010,88131,6.46135,5.21455,52.369389,63.31208,41.169262,31.473372,5.8379002,57.841167,36.32093
19_1,"Adair County, Iowa",USA,840,2007,,,1474.404174804688,Rural and Towns,,Iowa,5.1241035,736,4601,854,365,2186,503,371,2415,351,11.888225,74.317558,13.794217,11.951539,71.578255,16.470203,11.826586,76.984383,11.189034,7555,6191,1364,4479,1712,3742,3054,688,2312,742,3813,3137,676,2167,970,500,286,475,,,380,278,461,,,880,564,936,,,183,8,22,,,87,255,17,24,,,164,438,25,46,,,251,178,218,329,,,839,241,234,362,,,526,419,452,691,,,1365,19,52,110,,,44,4,35,89,,,52,23,87,199,,,96,48.157894,46.842106,5,51,48.200001,.80000001,49.772728,47.613636,2.6136363,2.8776979,78.417267,18.705036,5.944056,81.818184,12.237762,4.4326243,80.141846,15.425532,4.7722344,71.366592,23.861172,5.0526314,76.210526,18.736841,4.9145298,73.824783,21.260683,,,,,,,,,,,,,,,,,,,8.9690723,86.494843,4.5360823,22.102427,70.889488,7.0080862,14.661215,79.731308,5.6074767,248,168,2554,2757,361,1945,352,2237,416,4182,713,5311,6.0935798,81.138916,12.767501,9.7102585,76.155052,14.13469,7.8327999,78.742233,13.424967,,,,,,185,823,43,146,851,51,1051,1048,94,1674,331,2099,4.0913415,4.8664122,78.306374,81.202293,17.602283,13.931297,4.478323,79.752266,15.769414
21_1,"Adair County, Kentucky",USA,840,2007,,,1049.691040039063,Rural and Towns,,Kentucky,17.025963,1602,8316,4673,632,4063,2466,970,4253,2207,10.979371,56.994038,32.026592,8.8255835,56.737885,34.436531,13.055182,57.240913,29.703903,17872,14591,3281,11954,2637,8897,7161,1736,6032,1129,8975,7430,1545,5922,1508,1338,1212,1132,,,1286,1011,1186,,,2624,2223,2318,,,502,63,198,,,792,528,145,409,,,700,1030,208,607,,,1492,727,761,735,,,626,761,928,640,,,362,1488,1689,1375,,,988,57,187,253,,,90,49,139,83,,,67,106,326,336,,,157,39.03577,56.531883,4.4323483,39.461884,56.875935,3.6621823,39.253048,56.707317,4.0396342,6.2314539,75.272011,18.496538,11.963696,76.567657,11.468647,9.3567247,75.978409,14.664867,16.694773,61.973019,21.332209,36.130741,56.537102,7.3321557,26.186367,59.318378,14.495255,,,,,,,,,,,,,,,,,,,52.519894,41.511936,5.9681697,62.00177,32.063774,5.9344554,56.579445,37.46682,5.9537354,1938,1705,5823,6144,583,3302,913,3526,3643,6828,1496,11967,27.75065,57.389324,14.860026,33.281815,56.706165,10.012021,30.442049,57.056908,12.501044,,,,,,294,1372,684,383,1404,652,2350,2439,1336,2776,677,4789,29.106382,26.732267,58.38298,57.564575,12.510638,15.703157,27.897264,57.966171,14.136563
29_1,"Adair County, Missouri",USA,840,2007,,,1469.362060546875,Rural and Towns,,Missouri,16.878754,4008,14187,2718,1831,6428,1313,2177,7759,1405,19.165113,67.838188,12.9967,19.128708,67.154198,13.717092,19.195839,68.415482,12.388679,24801,20913,3888,17910,3003,11659,9572,2087,8386,1186,13142,11341,1801,9524,1817,3753,915,1289,,,4582,1137,1163,,,8335,2052,2452,,,545,54,83,,,515,621,18,148,,,321,1166,72,231,,,836,3433,618,780,,,1085,2705,612,879,,,655,6138,1230,1659,,,1740,604,465,300,,,217,427,285,262,,,210,1031,750,562,,,427,11.894369,74.923615,13.182016,16.546762,72.075676,11.377564,13.989202,73.641273,12.369526,4.7493405,54.353561,40.897099,1.9672132,66.885246,31.147541,3.5087719,59.941521,36.549709,7.1367154,67.067924,25.795357,11.481769,68.192398,20.325834,9.4208813,67.659058,22.920065,,,,,,,,,,,,,,,,,,,28.343424,59.713814,11.942762,27.065767,55.227657,17.706577,27.838827,57.942059,14.219114,692,860,5819,6759,1404,3723,1573,4326,1552,8049,2977,12578,12.723776,64.003548,23.272673,11.892077,63.980064,24.127857,12.339005,63.992687,23.66831,,,,,,647,1577,205,591,1843,208,2429,2642,413,3420,1238,5071,8.4396868,7.8728237,64.923836,69.757759,26.636477,22.369417,8.1443501,67.442322,24.41333
40_1,"Adair County, Oklahoma",USA,840,2007,,,1485.822387695313,Rural and Towns,,Oklahoma,14.686816,1419,10096,4984,618,4909,2530,801,5187,2454,8.6005211,61.191586,30.207891,7.6703486,60.928387,31.401266,9.4882727,61.442787,29.068941,21822,16499,5323,13851,2648,10755,8057,2698,6932,1125,11067,8442,2625,6919,1523,1598,1393,1410,,,1522,1294,1484,,,3120,2687,2894,,,838,239,231,,,664,852,327,168,,,615,1690,566,399,,,1279,669,890,1127,,,729,743,1025,1090,,,439,1412,1915,2217,,,1168,15,165,126,,,130,3,41,152,,,71,18,206,278,,,201,55.059132,43.955322,.98554534,53.316647,46.495621,.18773466,54.166668,45.256409,.57692307,18.46986,68.778976,12.75116,23.474516,73.582199,2.9432878,21.064384,71.269073,7.6665425,15.566038,75.943398,8.4905663,11.914893,77.304962,10.780142,13.787146,76.606773,9.606082,,,,,,,,,,,,,,,,,,,43.59816,47.866055,8.5357847,54.666668,39.022221,6.311111,48.300606,44.108761,7.5906343,1678,1616,6459,6920,615,4166,786,4518,3294,8684,1401,13379,23.352602,65.289017,11.358381,25.979254,64.499146,9.5215979,24.620674,64.907692,10.471635,,,,,,351,1612,568,365,1772,482,2531,2619,1050,3384,716,5150,22.441723,18.403971,63.690243,67.659409,13.868036,13.936617,20.38835,65.70874,13.902913
8_1,"Adams County, Colorado",USA,840,2007,USA18,Denver,3020.5927734375,Outskirts of Major City,,Colorado,138.85983,54741,186249,77150,26734,93581,40905,28007,92668,36245,17.206575,58.543095,24.25033,16.58231,58.045528,25.372162,17.847948,59.054295,23.097757,419439,318140,101299,284183,33957,212783,161220,51563,146608,14612,206656,156920,49736,137575,19345,28430,38992,33109,,,26713,35461,30179,,,55143,74453,63288,,,12757,6126,4979,,,5608,14414,9031,6346,,,3723,27171,15157,11325,,,9331,12599,20539,17730,,,11856,13220,22975,19705,,,8655,25819,43514,37435,,,20511,1357,8796,7470,,,1881,796,6986,7058,,,2234,2153,15782,14528,,,4115,47.755775,47.164303,5.0799236,50.699966,46.500175,2.7998593,49.273708,46.821899,3.9043939,17.275316,57.919968,24.804714,23.161161,58.922344,17.916496,20.357809,58.444923,21.197266,16.498228,58.749462,24.752312,19.166994,59.515541,21.317467,17.894388,59.150234,22.955379,,,,,,,,,,,,,,,,,,,28.989403,61.287155,9.723443,25.479059,59.23214,15.288804,27.47887,60.402863,12.118267,26491,23488,132790,130207,25938,80361,26650,80069,49979,160430,52588,262997,18.038969,61.493622,20.467409,19.949545,60.517357,19.533098,19.003639,61.000694,19.995665,,,,,,9660,29026,7391,8503,29944,6775,46077,45222,14166,58970,18163,91299,16.040541,14.981647,62.994553,66.215561,20.964907,18.802795,15.516051,64.589973,19.893974
16_3,"Adams County, Idaho",USA,840,2007,,,3529.64892578125,Rural and Towns,,Idaho,.99726629,507,1852,563,280,933,281,227,919,282,17.35113,63.381245,19.267626,18.741632,62.449799,18.808567,15.896358,64.355743,19.7479,3520,2922,598,2343,579,1732,1494,238,1167,327,1788,1428,360,1176,252,233,134,209,,,143,209,214,,,376,343,423,,,120,33,9,,,61,121,38,4,,,68,241,71,13,,,129,23,126,166,,,163,112,85,117,,,191,135,211,283,,,354,0,50,39,,,28,0,11,88,,,68,0,61,127,,,96,83.916084,16.083916,0,51.931332,48.068668,0,64.095741,35.904255,0,15.789474,60.287083,23.923445,28.35821,63.432835,8.2089548,20.699709,61.516033,17.784256,4.2056074,77.570091,18.224298,1.9138756,55.980862,42.105263,3.0732861,66.903076,30.023642,,,,,,,,,,,,,,,,,,,24.206348,64.682541,11.111111,20.795107,58.409786,20.795107,22.279793,61.139896,16.580311,160,162,1261,1285,280,821,227,896,322,1717,507,2546,12.607004,69.727623,17.665369,12.688343,65.107056,22.204599,12.64729,67.439117,19.913589,,,,,,113,428,50,110,441,59,591,610,109,869,223,1201,8.4602365,9.6721315,72.419624,72.295082,19.120136,18.032787,9.0757704,72.356369,18.56786
